name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Aid,enchantment,compulsion,mind-affecting,"cleric/oracle 2, inquisitor 2, alchemist 2, shaman 2, spiritualist 2, medium 2",1 standard action,"V, S, DF",0,touch,,,living creature touched,1 min./level,0,0,none,yes (harmless),"Aid grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).",PFRPG Core,1,1,0,0,1,,,2,,,,,2,,,2,2,,,2,,2,"Luck (2), Tactics (2)"," +1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Aid,4,,,Ancestors (4),,,0,,2,,2,,,2,,,,,0,0,0,
Air Walk,transmutation,,air,"cleric/oracle 4, druid 4, alchemist 4, occultist 4",1 standard action,"V, S, DF",0,touch,,,creature (Gargantuan or smaller) touched,10 min./level,0,0,none,yes (harmless),"The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker's normal speed. A strong wind (21+ miles per hour) can push the subject along or hold it back. At the end of a creature's turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about. Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the air walk spell is dispelled, but not if it is negated by an antimagic field. You can cast air walk on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of air walk (counts as a trick; see Handle Animal skill) with 1 week of work and a DC 25 Handle Animal check.",PFRPG Core,1,1,0,0,1,,,4,4,,,,4,,,,4,,,,,4,Air (4),Subject treads on air as if solid (climb or descend at 45-degree angle).,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Air Walk,5,,,,,,0,,,,,,4,,,,4,,0,0,0,
Alter Self,transmutation,polymorph,,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,personal,,,you,1 min./level,1,0,,,"When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet. Small creature: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity. Medium creature: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.",PFRPG Core,1,1,1,0,0,2,2,,,,2,,2,2,2,,,,2,,,2,,Assume form of a Small or Medium humanoid.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alter Self,7,,,,,,0,,2,2,2,2,,,,,,,0,0,0,2
Analyze Dweomer,divination,,,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6, occultist 6, psychic 6, spiritualist 6",1 standard action,"V, S, F (a ruby and gold lens worth 1,500 gp)",1,close (25 ft. + 5 ft./2 levels),,,one object or creature per caster level,1 round/level,1,0,none or Will negates; see text,no,"You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level. An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other analyze dweomer spells for 24 hours. Analyze dweomer does not function when used on an artifact.",PFRPG Core,1,1,0,1,0,6,6,,,,6,,6,,6,,,,,,,6,Arcane (6),Reveals magical aspects of subject.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Analyze Dweomer,9,1500,,,,,0,,,6,,,6,6,,,,,0,0,0,
Arcane Eye,divination,scrying,,"sorcerer/wizard 4, witch 4, alchemist 4, occultist 4, psychic 4, mesmerist 4",10 minutes,"V, S, M (a bit of bat fur)",0,unlimited,,magical sensor,,1 min./level,1,0,none,no,"You create an invisible magical sensor that sends you visual information. You can create the arcane eye at any point you can see, but it can then travel outside your line of sight without hindrance. An arcane eye travels at 30 feet per round (300 feet per minute) if viewing an area ahead as a human would (primarily looking at the floor) or 10 feet per round (100 feet per minute) if examining the ceiling and walls as well as the floor ahead. It sees exactly as you would see if you were there. The eye can travel in any direction as long as the spell lasts. Solid barriers block its passage, but it can pass through a hole or space as small as 1 inch in diameter. The eye can't enter another plane of existence, even through a gate or similar magical portal. You must concentrate to use an arcane eye. If you do not concentrate, the eye is inert until you again concentrate.",PFRPG Core,1,1,1,0,0,4,4,,,,,,4,,4,,,,,,,4,Arcane (4), Invisible floating eye moves 30 ft./round.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arcane Eye,22,,,,,,0,,,4,,4,4,,,,,,0,0,0,
Arcane Sight,divination,,,"sorcerer/wizard 3, witch 3, inquisitor 3, alchemist 3, magus 3, occultist 3, psychic 3",1 standard action,"V, S",0,personal,,,you,1 min./level,1,0,,,"This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a detect magic spell, but arcane sight does not require concentration and discerns aura location and power more quickly. You know the location and power of all magical auras within your sight. An aura's power depends on a spell's functioning level or an item's caster level, as noted in the DESCRIPTION of the detect magic spell. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. (Make one check per aura; DC 15 + spell level, or 15 + half caster level for a nonspell effect.) If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities, whether these are arcane or divine (spell-like abilities register as arcane), and the strength of the most powerful spell or spell-like ability the creature currently has available for use. As with detect magic, you can use this spell to identify the properties of magic items, but not artifacts. Arcane sight can be made permanent with a permanency spell.",PFRPG Core,1,1,0,0,0,3,3,,,,,,3,,3,3,,,3,,,3,, Magical auras become visible to you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arcane Sight,25,,,,,,0,,,3,,,3,,,,,,0,0,0,
Barkskin,transmutation,,,"druid 2, ranger 2, summoner/unchained summoner 2, alchemist 2, shaman 2",1 standard action,"V, S, DF",0,touch,,,living creature touched,10 min./level,0,0,none,yes (harmless),"Barkskin toughens a creature's skin. The effect grants a +2 enhancement bonus to the creature's existing natural armor bonus. This enhancement bonus increases by 1 for every three caster levels above 3rd, to a maximum of +5 at 12th level. The enhancement bonus provided by barkskin stacks with the target's natural armor bonus, but not with other enhancement bonuses to natural armor. A creature without natural armor has an effective natural armor bonus of +0.",PFRPG Core,1,1,0,0,1,,,,2,2,,,2,2,,,,,,,,2,"Defense (2), Plant (2)",Grants +2 (or higher) enhancement to natural armor.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barkskin,33,,Verdant (5),,The target also gains DR/magic equal to the double the enhancement bonus the spell provides to the target's natural armor bonus.,"Augmented (6th): If you expend two uses of mythic power, the spell grants DR/epic rather than DR/magic.",1,,2,,,,,,,,2,,0,0,0,2
Bear's Endurance,transmutation,,,"cleric/oracle 2, druid 2, ranger 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, bloodrager 2, shaman 2, psychic 2, medium 2",1 standard action,"V, S, M/DF (a few hairs, or a pinch of dung, from a bear)",0,touch,,,creature touched,1 min./level,0,0,Will negates (harmless),yes,"The affected creature gains greater vitality and stamina. The spell grants the subject a +4 enhancement bonus to Constitution, which adds the usual benefits to hit points, Fortitude saves, Constitution checks, and so forth. Hit points gained by a temporary increase in Constitution score are not temporary hit points. They go away when the subject's Constitution drops back to normal. They are not lost first as temporary hit points are.",PFRPG Core,1,1,1,0,1,2,2,2,2,2,,,2,2,,,2,,2,2,,2,,Subject gains +4 to Con for 1 min./level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear's Endurance,34,,,"Endurance (4), Transformation (4)",,,0,2,2,2,2,,,,,,2,,0,0,0,2
Beast Shape I,transmutation,polymorph,,"sorcerer/wizard 3, alchemist 3, magus 3, bloodrager 3",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,personal,,,you,1 min./level,1,0,,,"When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent. Small animal: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus. Medium animal: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.",PFRPG Core,1,1,1,0,0,3,3,,,,,,3,,,,,,3,,,3,Fur (3), You take the form and some of the powers of a Small or Medium animal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast Shape I,36,,,Transformation (6),,,0,3,,,,,,,,,,,0,0,0,
Beast Shape II,transmutation,polymorph,,"sorcerer/wizard 4, alchemist 4, magus 4, bloodrager 4",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,personal,,,you,1 min./level,1,0,,,"This spell functions as beast shape I, except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, grab, pounce, and trip. Tiny animal: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a -2 penalty to your Strength, and a +1 natural armor bonus. Small animal: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus. Medium animal: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus. Large animal: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a -2 penalty to your Dexterity, and a +4 natural armor bonus.",PFRPG Core,1,1,1,0,0,4,4,,,,,,4,,,,,,4,,,4,, You take the form and some of the powers of a Tiny or Large animal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast Shape II,37,,,Transformation (8),,,0,4,,,,,,,,,,,0,0,0,
Beast Shape III,transmutation,polymorph,,"sorcerer/wizard 5, alchemist 5, magus 5",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,personal,,,you,1 min./level,1,0,,,"This spell functions as beast shape II, except that it also allows you to assume the form of a Diminutive or Huge creature of the animal type. This spell also allows you to take on the form of a Small or Medium creature of the magical beast type. If the form you assume has any of the following abilities, you gain the listed ability: burrow 30 feet, climb 90 feet, fly 90 feet (good maneuverability), swim 90 feet, blindsense 30 feet, darkvision 60 feet, low-light vision, scent, constrict, ferocity, grab, jet, poison, pounce, rake, trample, trip, and web. Diminutive animal: If the form you take is that of a Diminutive animal, you gain a +6 size bonus to your Dexterity, a -4 penalty to your Strength, and a +1 natural armor bonus. Tiny animal: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a -2 penalty to your Strength, and a +1 natural armor bonus. Small animal: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus. Medium animal: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus. Large animal: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a -2 penalty to your Dexterity, and a +4 natural armor bonus. Huge animal: If the form you take is that of a Huge animal, you gain a +6 size bonus to your Strength, a -4 penalty to your Dexterity, and a +6 natural armor bonus. Small magical beast: If the form you take is that of a Small magical beast, you gain a +4 size bonus to your Dexterity, and a +2 natural armor bonus. Medium magical beast: If the form you take is that of a Medium magical beast, you gain a +4 size bonus to your Strength, and a +4 natural armor bonus.",PFRPG Core,1,1,1,0,0,5,5,,,,,,5,,,,,,5,,,5,"Animal (5), Saurian (5)"," You take the form of a Diminutive or Huge animal, or Small or Medium magical beast.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast Shape III,38,,,Transformation (10),,,0,,,,,,,,,,,,0,0,0,
