name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Animate Dead,necromancy,,evil,"cleric/oracle 3, sorcerer/wizard 4, antipaladin 3, shaman 3, occultist 3, spiritualist 3",1 standard action,"V, S, M (an onyx gem worth at least 25 gp per Hit Die of the undead)",1,touch,,,one or more corpses touched,instantaneous,0,0,none,no,"This spell turns corpses into undead skeletons or zombies (see the Pathfinder RPG Bestiary) that obey your spoken commands. The undead can be made to follow you, or they can be made to remain in an area and attack any creature (or just a specific kind of creature) entering the place. They remain animated until they are destroyed. A destroyed skeleton or zombie can't be animated again. Regardless of the type of undead you create with this spell, you can't create more HD of undead than twice your caster level with a single casting of animate dead. The desecrate spell doubles this limit. The undead you create remain under your control indefinitely. No matter how many times you use this spell, however, you can control only 4 HD worth of undead creatures per caster level. If you exceed this number, all the newly created creatures fall under your control, and any excess undead from previous castings become uncontrolled. You choose which creatures are released. Undead you control through the Command Undead feat do not count toward this limit. Skeletons: A skeleton can be created only from a mostly intact corpse or skeleton. The corpse must have bones. If a skeleton is made from a corpse, the flesh falls off the bones. Zombies: A zombie can be created only from a mostly intact corpse. The corpse must be that of a creature with a physical anatomy.",PFRPG Core,1,1,1,0,0,4,4,3,,,,,,,,,3,3,,3,,4,"Death (3), Souls (3)",Creates undead skeletons and zombies.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Dead,14,25,Undead (9),Plague (8),"Add your tier to your caster level when determining how many Hit Dice of undead you can animate with a single casting of this spell. This doesn't increase the total number of Hit Dice worth of undead you can control. By expending a second use of mythic power, you can ignore the spell's material component cost.","Augmented (6th): If you expend two uses of mythic power, any skeletons or zombies you create gain either the agile (see page 224) or savage (see page 224) mythic template. This template lasts for a number of days equal to your tier. Alternatively, if you're 8th tier and expend 10 uses of mythic power, any skeletons you create permanently gain the mythic skeleton template (see page 216).",1,,3,,,,3,3,,,,,0,0,0,
Bane,enchantment,compulsion,"fear, mind-affecting","antipaladin 1, cleric/oracle 1, inquisitor 1, shaman 1, mesmerist 1",1 standard action,"V, S, DF",0,50 ft.,"50-ft.-radius burst, centered on you",,,1 min./level,0,0,Will negates,yes,Bane fills your enemies with fear and doubt. Each affected creature takes a -1 penalty on attack rolls and a -1 penalty on saving throws against fear effects. Bane counters and dispels bless.,PFRPG Core,1,1,0,0,1,,,1,,,,,,,,1,1,1,,,,1,Curse (1),Enemies take –1 on attack rolls and saves vs. fear.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Bane,31,,,,"The -1 penalty applies on attack rolls, weapon damage rolls, and all saving throws. Each affected creature must roll its next attack roll or saving throw twice and take the lower result.",,1,,1,,,1,,,,,,,0,0,0,
Bestow Curse,necromancy,,curse,"cleric/oracle 3, sorcerer/wizard 4, witch 3, antipaladin 3, bloodrager 4, shaman 3, occultist 3, mesmerist 3, spiritualist 3, medium 2",1 standard action,"V, S",0,touch,,,creature touched,permanent,0,0,Will negates,yes,"You place a curse on the subject. Choose one of the following. -6 decrease to an ability score (minimum 1). -4 penalty on attack rolls, saves, ability checks, and skill checks. Each turn, the target has a 50% chance to act normally; otherwise, it takes no action. You may also invent your own curse, but it should be no more powerful than those described above. The curse bestowed by this spell cannot be dispelled, but it can be removed with a break enchantment, limited wish, miracle, remove curse, or wish spell. Bestow curse counters remove curse.",PFRPG Core,1,1,0,0,0,4,4,3,,,,,,,3,,3,3,,3,,4,"Curse (3), Tyranny (3)","–6 to an ability score; –4 on attack rolls, saves, and checks; or 50% chance of losing each action.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bestow Curse,40,,"Accursed (9), Div (9)",,,,0,4,3,,2,3,3,3,,,,,0,0,0,
Blindness/Deafness,necromancy,,,"antipaladin 2, bard 2, cleric/oracle 3, sorcerer/wizard 2, witch 2, bloodrager 2, shaman 3, psychic 2, mesmerist 2, spiritualist 3",1 standard action,V,0,medium (100 ft. + 10 ft./level),,,one living creature,permanent (D),1,0,Fortitude negates,yes,"You call upon the powers of unlife to render the subject blinded or deafened, as you choose.",PFRPG Core,1,0,0,0,0,2,2,3,,,2,,,,2,,3,2,,,,2,Darkness (2),Makes subject blind or deaf.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blindness-Deafness,50,,,,You can cause the target to be both blinded and deafened at the same time. The target must attempt a saving throw against each effect separately.,,1,2,3,2,,2,,3,,,,,0,0,0,
Bull's Strength,transmutation,,,"cleric/oracle 2, druid 2, paladin 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, antipaladin 2, magus 2, bloodrager 2, shaman 2, psychic 2, medium 2",1 standard action,"V, S, M/DF (a few hairs, or a pinch of dung, from a bull)",0,touch,,,creature touched,1 min./level,0,0,Will negates (harmless),yes (harmless),"The subject becomes stronger. The spell grants a +4 enhancement bonus to Strength, adding the usual benefits to melee attack rolls, melee damage rolls, and other uses of the Strength modifier.",PFRPG Core,1,1,1,0,1,2,2,2,2,,,2,2,2,,,2,2,2,2,,2,"Rage (2), Strength (2)",Subject gains +4 to Str for 1 min./level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bull's Strength,55,,"Abyssal (5), Orc (5)",Strength (4),,,0,2,2,2,2,,,,,,2,,0,0,0,2
Cause Fear,necromancy,,"emotion, fear, mind-affecting","antipaladin 1, bard 1, cleric/oracle 1, inquisitor 1, sorcerer/wizard 1, witch 1, bloodrager 1, shaman 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",1 standard action,"V, S",0,close (25 ft. + 5 ft./2 levels),,,one living creature with 5 or fewer HD,1d4 rounds or 1 round; see text,0,0,Will partial,yes,"The affected creature becomes frightened. If the subject succeeds on a Will save, it is shaken for 1 round. Creatures with 6 or more HD are immune to this effect. Cause fear counters and dispels remove fear.",PFRPG Core,1,1,0,0,0,1,1,1,,,1,,,,1,1,1,1,,1,,1,"Daemon (1), Death (1), Fear (1)",A creature of 5 HD or less flees for 1d4 rounds.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Cause Fear,64,,Abyssal (3),,,,0,1,1,1,1,1,1,1,,,,,0,0,0,
Command,enchantment,compulsion,"language-dependent, mind-affecting","antipaladin 1, cleric/oracle 1, inquisitor 1, witch 1, occultist 1, psychic 1, mesmerist 1, medium 1",1 standard action,V,0,close (25 ft. + 5 ft./2 levels),,,one living creature,1 round,0,0,Will negates,yes,"You give the subject a single command, which it obeys to the best of its ability at its earliest opportunity. You may select from the following options. Approach: On its turn, the subject moves toward you as quickly and directly as possible for 1 round. The creature may do nothing but move during its turn, and it provokes attacks of opportunity for this movement as normal. Drop: On its turn, the subject drops whatever it is holding. It can't pick up any dropped item until its next turn. Fall: On its turn, the subject falls to the ground and remains prone for 1 round. It may act normally while prone but takes any appropriate penalties. Flee: On its turn, the subject moves away from you as quickly as possible for 1 round. It may do nothing but move during its turn, and it provokes attacks of opportunity for this movement as normal. Halt: The subject stands in place for 1 round. It may not take any actions but is not considered helpless. If the subject can't carry out your command on its next turn, the spell automatically fails.",PFRPG Core,1,0,0,0,0,,,1,,,,,,,1,1,1,1,,1,,1,"Devil (1), Toil (1), Tyranny (1)",One subject obeys a command for 1 round.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Command,81,,,Portents (2),"You can target up to one creature per level, each of which must receive the same command. Creatures that succeed at their saving throws are staggered for 1 round (this is a mind-affecting effect).",,1,,,1,1,1,1,,,,,,0,0,0,
Contagion,necromancy,,evil,"cleric/oracle 3, druid 3, sorcerer/wizard 4, antipaladin 3, bloodrager 4",1 standard action,"V, S",0,touch,,,living creature touched,instantaneous,0,0,Fortitude negates,yes,"The subject contracts one of the following diseases: blinding sickness, bubonic plague, cackle fever, filth fever, leprosy, mindfire, red ache, shakes, or slimy doom. The disease is contracted immediately (the onset period does not apply). Use the disease's listed frequency and save DC to determine further effects. For more information on these diseases, see page 557.",PFRPG Core,1,1,0,0,0,4,4,3,3,,,,,,,,3,3,,3,,4,"Decay (3), Plague (3)",Infects subject with chosen disease.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Contagion,93,,"Pestilence (7), Daemon (9)",Plague (6),The affected target is highly contagious. Any creature it touches or that touches it with natural weapons or unarmed strikes must save or contract the disease. The save DC for these targets is equal to the spell's DC - 4. The target can't spread this disease to you.,"Augmented (7th): If you expend five uses of mythic power, the spell targets every living creature within a 1-mile radius. You can select one creature per caster level within your line of sight; these creatures are unaffected by the spell.",1,4,,,,,,,,,3,,0,0,0,
Curse Water,necromancy,,evil,"cleric/oracle 1, inquisitor 1, antipaladin 1",1 minute,"V, S, M (5 lbs. of powdered silver worth 25 gp)",1,touch,,,flask of water touched,instantaneous,0,0,Will negates (object),yes (object),"This spell imbues a flask (1 pint) of water with negative energy, turning it into unholy water (see Equipment). Unholy water damages good outsiders the way holy water damages undead and evil outsiders.",PFRPG Core,1,1,1,0,0,,,1,,,,,,,,1,1,1,,,,1,,Makes water unholy.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Curse Water,116,25,,Water (2),,,0,,,,,,,,,,,,0,0,0,
Darkness,evocation,,darkness,"bard 2, cleric/oracle 2, sorcerer/wizard 2, inquisitor 2, antipaladin 2, magus 2, shaman 2, occultist 2",1 standard action,"V, M/DF (bat fur and a piece of coal)",0,touch,,,object touched,1 min./level (D),1,0,none,no,"This spell causes an object to radiate darkness out to a 20-foot radius. This darkness causes the illumination level in the area to drop one step, from bright light to normal light, from normal light to dim light, or from dim light to darkness. This spell has no effect in an area that is already dark. Creatures with light vulnerability or sensitivity take no penalties in normal light. All creatures gain concealment (20% miss chance) in dim light. All creatures gain total concealment (50% miss chance) in darkness. Creatures with darkvision can see in an area of dim light or darkness without penalty. Nonmagical sources of light, such as torches and lanterns, do not increase the light level in an area of darkness. Magical light sources only increase the light level in an area if they are of a higher spell level than darkness. If darkness is cast on a small object that is then placed inside or under a lightproof covering, the spell's effect is blocked until the covering is removed. This spell does not stack with itself. Darkness can be used to counter or dispel any light spell of equal or lower spell level.",PFRPG Core,1,0,1,0,1,2,2,2,,,2,,,,,2,2,2,2,2,,2,,20-ft. radius of supernatural shadow.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darkness,118,,,"Moon (2), Shadow (4)","The illumination level in the area drops to darkness regardless of the existing lighting conditions. Non-mythic spells and effects can't increase the light level in the area. Creatures with darkvision and the power to see in darkness have difficulty seeing through this darkness, and can see as well as a human can in dim light. Creatures in the area of darkness take a -2 penalty on saves against fear.",,1,,2,,,,2,,,,,,0,0,0,
