name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Alter Self,transmutation,polymorph,,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,personal,,,you,1 min./level,1,0,,,"When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet. Small creature: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity. Medium creature: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.",PFRPG Core,1,1,1,0,0,2,2,,,,2,,2,2,2,,,,2,,,2,,Assume form of a Small or Medium humanoid.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alter Self,7,,,,,,0,,2,2,2,2,,,,,,,0,0,0,2
Alarm,abjuration,,,"bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1",1 standard action,"V, S, F/DF (a tiny bell and a piece of very fine silver wire)",0,close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation centered on a point in space,,,2 hours/level,1,0,none,no,"Alarm creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the alarm. You decide at the time of casting whether the alarm will be mental or audible in nature. Mental Alarm: A mental alarm alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental ""ping"" that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental alarm. Audible Alarm: An audible alarm produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall. In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a silence spell cannot hear the ringing. Ethereal or astral creatures do not trigger the alarm. Alarm can be made permanent with a permanency spell.",PFRPG Core,1,1,0,1,1,1,1,,,1,1,,,1,,1,,,,,,1,"Home (1), Ambush (1)",Wards an area for 2 hours/level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,8,,"Destined (3), Kobold Sorcerer (3), Kobold (3)",,,,0,,,1,,,1,1,,,1,,0,0,0,1
Analyze Dweomer,divination,,,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6, occultist 6, psychic 6, spiritualist 6",1 standard action,"V, S, F (a ruby and gold lens worth 1,500 gp)",1,close (25 ft. + 5 ft./2 levels),,,one object or creature per caster level,1 round/level,1,0,none or Will negates; see text,no,"You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level. An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other analyze dweomer spells for 24 hours. Analyze dweomer does not function when used on an artifact.",PFRPG Core,1,1,0,1,0,6,6,,,,6,,6,,6,,,,,,,6,Arcane (6),Reveals magical aspects of subject.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Analyze Dweomer,9,1500,,,,,0,,,6,,,6,6,,,,,0,0,0,
Animal Messenger,enchantment,compulsion,mind-affecting,"bard 2, druid 2, ranger 1, shaman 2, psychic 2, mesmerist 2",1 minute,"V, S, M (a morsel of food the animal likes)",0,close (25 ft. + 5 ft./2 levels),,,one Tiny animal,1 day/level,0,0,none; see text,yes,"You compel a Tiny animal to go to a spot you designate. The most common use for this spell is to get an animal to carry a message to your allies. The animal cannot be one tamed or trained by someone else, including such creatures as familiars and animal companions. Using some type of food desirable to the animal as a lure, you call the animal to you. It advances and awaits your bidding. You can mentally impress on the animal a certain place well known to you or an obvious landmark. The directions must be simple, because the animal depends on your knowledge and can't find a destination on its own. You can attach a small item or note to the messenger. The animal then goes to the designated location and waits there until the duration of the spell expires, whereupon it resumes its normal activities. During this period of waiting, the messenger allows others to approach it and remove any scroll or token it carries. The intended recipient gains no special ability to communicate with the animal or read any attached message (if it's written in a language he doesn't know, for example).",PFRPG Core,1,1,1,0,0,,,,2,1,2,,,,,,,,,,,2,,Sends a Tiny animal to a specific place.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Animal Messenger,11,,,,,,0,,2,2,,2,,,,,1,,0,0,0,
Animal Trance,enchantment,compulsion,"mind-affecting, sonic","bard 2, druid 2, psychic 2, mesmerist 2",1 standard action,"V, S",0,close (25 ft. + 5 ft./2 levels),,,animals or magical beasts with Intelligence 1 or 2,concentration,0,0,Will negates,yes,"Your swaying motions and music (or singing, or chanting) compel animals and magical beasts to do nothing but watch you. Only a creature with an Intelligence score of 1 or 2 can be fascinated by this spell. Roll 2d6 to determine the total number of HD worth of creatures that you fascinate. The closest targets are selected first until no more targets within range can be affected.",PFRPG Core,1,1,0,0,0,,,,2,,2,,,,,,,,,2,,2,Scalykind (2),Fascinates 2d6 HD of animals.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Animal Trance,13,,,,,,0,,,2,,2,,,,,2,,0,0,0,
Animate Objects,transmutation,,,"bard 6, cleric/oracle 6, witch 6, occultist 6, psychic 6",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),,,one Small object per caster level; see text,1 round/level,0,0,none,no,"You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate. An animated object can be of any nonmagical material. You may animate one Small or smaller object or a corresponding number of larger objects as follows: A Medium object counts as two Small or smaller objects, a Large object as four, a Huge object as eight, a Gargantuan object as 16, and a Colossal object as 32. You can change the designated target or targets as a move action, as if directing an active spell. See the Pathfinder RPG Bestiary for the statistics of animated objects. This spell cannot affect objects carried or worn by a creature. Animate objects can be made permanent with a permanency spell.",PFRPG Core,1,1,0,0,0,,,6,,,6,,,,6,,6,,,,,6,"Chaos (6), Flotsam (6)",Objects attack your foes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Objects,15,,Impossible (13),,"Animated objects you create with this spell get the maximum number of hit points per level, gain a +4 bonus to their Strength ability scores, and have 1-1/2 times the normal number of construction points.",,1,,,6,,,6,,,,,,0,0,0,
Animate Rope,transmutation,,,"bard 1, sorcerer/wizard 1, psychic 1, mesmerist 1",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),,,"one rope-like object, length up to 50 ft. + 5 ft./level; see text",1 round/level,0,0,none,no,"You can animate a nonliving rope-like object. The maximum length assumes a rope with a 1-inch diameter. Reduce the maximum length by 50% for every additional inch of thickness, and increase it by 50% for each reduction of the rope's diameter by half. The possible commands are ""coil"" (form a neat, coiled stack), ""coil and knot,"" ""loop,"" ""loop and knot,"" ""tie and knot,"" and the opposites of all of the above (""uncoil,"" and so forth). You can give one command each round as a move action, as if directing an active spell. The rope can enwrap only a creature or an object within 1 foot of it - it does not snake outward - so it must be thrown near the intended target. Doing so requires a successful ranged touch attack roll (range increment 10 feet). A typical 1-inch-diameter hemp rope has 2 hit points, AC 10, and requires a DC 23 Strength check to burst it. The rope does not deal damage, but it can be used as a trip line or to cause a single opponent that fails a Reflex saving throw to become entangled. A creature capable of spellcasting that is bound by this spell must make a concentration check with a DC of 15 + the spell's level to cast a spell. An entangled creature can slip free with a DC 20 Escape Artist check. The rope itself and any knots tied in it are not magical. The spell cannot affect objects carried or worn by a creature.",PFRPG Core,1,1,0,0,0,1,1,,,,1,,,,,,,,,,,1,Artifice (1),Makes a rope move at your command.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Rope,17,,,Trickery (2),,,0,,,1,,1,,,,,,,0,0,0,
Blindness/Deafness,necromancy,,,"antipaladin 2, bard 2, cleric/oracle 3, sorcerer/wizard 2, witch 2, bloodrager 2, shaman 3, psychic 2, mesmerist 2, spiritualist 3",1 standard action,V,0,medium (100 ft. + 10 ft./level),,,one living creature,permanent (D),1,0,Fortitude negates,yes,"You call upon the powers of unlife to render the subject blinded or deafened, as you choose.",PFRPG Core,1,0,0,0,0,2,2,3,,,2,,,,2,,3,2,,,,2,Darkness (2),Makes subject blind or deaf.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blindness-Deafness,50,,,,You can cause the target to be both blinded and deafened at the same time. The target must attempt a saving throw against each effect separately.,,1,2,3,2,,2,,3,,,,,0,0,0,
Blink,transmutation,,,"bard 3, sorcerer/wizard 3, magus 3, psychic 3",1 standard action,"V, S",0,personal,,,you,1 round/level (D),1,0,,,"You ""blink"" quickly back and forth between the Material Plane and the Ethereal Plane and look as though you're winking in and out of reality at random. Blink has several effects, as follows. Physical attacks against you have a 50% miss chance, and the Blind-Fight feat doesn't help opponents, since you're ethereal and not merely invisible. If the attack is capable of striking ethereal creatures, the miss chance is only 20% (for concealment). If the attacker can see invisible creatures, the miss chance is also only 20%. (For an attacker who can both see and strike ethereal creatures, there is no miss chance.) Likewise, your own attacks have a 20% miss chance, since you sometimes go ethereal just as you are about to strike. Any individually targeted spell has a 50% chance to fail against you while you're blinking unless your attacker can target invisible, ethereal creatures. Your own spells have a 20% chance to activate just as you go ethereal, in which case they typically do not affect the Material Plane (but they might affect targets on the Ethereal Plane). While blinking, you take only half damage from area attacks (but full damage from those that extend onto the Ethereal Plane). Although you are only partially visible, you are not considered invisible and targets retain their Dexterity bonus to AC against your attacks. You do receive a +2 bonus on attack rolls made against enemies that cannot see invisible creatures. You take only half damage from falling, since you fall only while you are material. While blinking, you can step through (but not see through) solid objects. For each 5 feet of solid material you walk through, there is a 50% chance that you become material. If this occurs, you are shunted off to the nearest open space and take 1d6 points of damage per 5 feet so traveled. Since you spend about half your time on the Ethereal Plane, you can see and even attack ethereal creatures. You interact with ethereal creatures roughly the same way you interact with material ones. An ethereal creature is invisible, incorporeal, and capable of moving in any direction, even up or down. As an incorporeal creature, you can move through solid objects, including living creatures. An ethereal creature can see and hear the Material Plane, but everything looks gray and insubstantial. Sight and hearing on the Material Plane are limited to 60 feet. Force effects and abjurations affect you normally. Their effects extend onto the Ethereal Plane from the Material Plane, but not vice versa. An ethereal creature can't attack material creatures, and spells you cast while ethereal affect only other ethereal things. Certain material creatures or objects have attacks or effects that work on the Ethereal Plane. Treat other ethereal creatures and objects as material.",PFRPG Core,1,1,0,0,0,3,3,,,,3,,,,,,,,3,,,3,,You randomly vanish and reappear for 1 round/level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blink,51,,Starsoul (7),"Deception (6), Dimensions (6)",You may spend a move action to remain corporeal or incorporeal until the end of your turn (you automatically resume blinking at the end of your turn).,"Augmented (3rd): If you expend two uses of mythic power, you can spend either a swift action or a move action to remain corporeal or incorporeal until the end of your turn.",1,,,3,,,,,,,,,0,0,0,
Blur,illusion,glamer,,"bard 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2",1 standard action,V,0,touch,,,creature touched,1 min./level,1,0,Will negates (harmless),yes (harmless),"The subject's outline appears blurred, shifting, and wavering. This distortion grants the subject concealment (20% miss chance). A see invisibility spell does not counteract the blur effect, but a true seeing spell does. Opponents that cannot see the subject ignore the spell's effect (though fighting an unseen opponent carries penalties of its own).",PFRPG Core,1,0,0,0,0,2,2,,,,2,,2,2,,,,,2,,,2,,Attacks miss subject 20% of the time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blur,52,,"Destined (5), Protean (5)",,,,0,,,2,2,2,2,2,,,,,0,0,0,2
