name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Air Walk,transmutation,,air,"cleric/oracle 4, druid 4, alchemist 4, occultist 4",1 standard action,"V, S, DF",0,touch,,,creature (Gargantuan or smaller) touched,10 min./level,0,0,none,yes (harmless),"The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker's normal speed. A strong wind (21+ miles per hour) can push the subject along or hold it back. At the end of a creature's turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about. Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the air walk spell is dispelled, but not if it is negated by an antimagic field. You can cast air walk on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of air walk (counts as a trick; see Handle Animal skill) with 1 week of work and a DC 25 Handle Animal check.",PFRPG Core,1,1,0,0,1,,,4,4,,,,4,,,,4,,,,,4,Air (4),Subject treads on air as if solid (climb or descend at 45-degree angle).,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Air Walk,5,,,,,,0,,,,,,4,,,,4,,0,0,0,
Animal Growth,transmutation,,,"druid 5, ranger 4, sorcerer/wizard 5, shaman 5",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),,,one animal (Gargantuan or smaller),1 min./level,0,0,Fortitude negates,yes,"The target animal grows to twice its normal size and eight times its normal weight. This alteration changes the animal's size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 hit points per HD), and imposes a -2 size penalty to Dexterity. The creature's existing natural armor bonus increases by 2. The size change also affects the animal's modifier to AC, attack rolls, and its base damage. The animal's space and reach change as appropriate to the new size, but its speed does not change. If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check (using its increased Strength) to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it--the spell cannot be used to crush a creature by increasing its size. All equipment worn or carried by the animal is similarly enlarged by the spell, though this change has no effect on the magical properties of any such equipment. Any enlarged item that leaves the enlarged creature's possession instantly returns to its normal size. The spell gives no means of command over an enlarged animal. Multiple magical effects that increase size do not stack.",PFRPG Core,1,1,0,0,0,5,5,,5,4,,,,,,,,,,,,5,Scalykind (5),One animal doubles in size.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animal Growth,10,,,Animals (10),,,0,,5,,,,,,,,4,,0,0,0,
Animal Messenger,enchantment,compulsion,mind-affecting,"bard 2, druid 2, ranger 1, shaman 2, psychic 2, mesmerist 2",1 minute,"V, S, M (a morsel of food the animal likes)",0,close (25 ft. + 5 ft./2 levels),,,one Tiny animal,1 day/level,0,0,none; see text,yes,"You compel a Tiny animal to go to a spot you designate. The most common use for this spell is to get an animal to carry a message to your allies. The animal cannot be one tamed or trained by someone else, including such creatures as familiars and animal companions. Using some type of food desirable to the animal as a lure, you call the animal to you. It advances and awaits your bidding. You can mentally impress on the animal a certain place well known to you or an obvious landmark. The directions must be simple, because the animal depends on your knowledge and can't find a destination on its own. You can attach a small item or note to the messenger. The animal then goes to the designated location and waits there until the duration of the spell expires, whereupon it resumes its normal activities. During this period of waiting, the messenger allows others to approach it and remove any scroll or token it carries. The intended recipient gains no special ability to communicate with the animal or read any attached message (if it's written in a language he doesn't know, for example).",PFRPG Core,1,1,1,0,0,,,,2,1,2,,,,,,,,,,,2,,Sends a Tiny animal to a specific place.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Animal Messenger,11,,,,,,0,,2,2,,2,,,,,1,,0,0,0,
Animal Shapes,transmutation,polymorph,,"druid 8, shaman 8",1 standard action,"V, S, DF",0,close (25 ft. + 5 ft./2 levels),,,"up to one willing creature per level, all within 30 ft. of each other.",1 hour/level,1,0,none; see text,yes (harmless),"As beast shape III, except you change the form of up to one willing creature per caster level into an animal of your choice; the spell has no effect on unwilling creatures. All creatures must take the same kind of animal form. Recipients remain in the animal form until the spell expires or until you dismiss it for all recipients. In addition, an individual subject may choose to resume its normal form as a full-round action; doing so ends the spell for that subject alone.",PFRPG Core,1,1,0,0,1,,,,8,,,,,,,,,,,,,8,"Animal (7), Scalykind (8)", One ally/level polymorphs into chosen animal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animal Shapes,12,,,"Agility (16), Animals (16)",,,0,,8,,,,,,,,,,0,0,0,
Animal Trance,enchantment,compulsion,"mind-affecting, sonic","bard 2, druid 2, psychic 2, mesmerist 2",1 standard action,"V, S",0,close (25 ft. + 5 ft./2 levels),,,animals or magical beasts with Intelligence 1 or 2,concentration,0,0,Will negates,yes,"Your swaying motions and music (or singing, or chanting) compel animals and magical beasts to do nothing but watch you. Only a creature with an Intelligence score of 1 or 2 can be fascinated by this spell. Roll 2d6 to determine the total number of HD worth of creatures that you fascinate. The closest targets are selected first until no more targets within range can be affected.",PFRPG Core,1,1,0,0,0,,,,2,,2,,,,,,,,,2,,2,Scalykind (2),Fascinates 2d6 HD of animals.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Animal Trance,13,,,,,,0,,,2,,2,,,,,2,,0,0,0,
Animate Plants,transmutation,,,"druid 7, shaman 7",1 standard action,V,0,close (25 ft. + 5 ft./2 levels),,,one Large plant per three caster levels or all plants within range; see text,1 round/level or 1 hour/level; see text,0,0,none,no,"You imbue inanimate plants with mobility and a semblance of life. Each animated plant then immediately attacks whomever or whatever you initially designate as though it were an animated object of the appropriate size category. You may animate one Large or smaller plant, or a number of larger plants as follows: a Huge plant counts as two Large or smaller plants, a Gargantuan plant as four, and a Colossal plant as eight. You can change the designated target or targets as a move action, as if directing an active spell. Use the statistics for animated objects (see Pathfinder RPG Bestiary), except that plants smaller than Large don't have hardness. Animate plants cannot affect plant creatures, nor does it affect nonliving vegetable material. Entangle: Alternatively, you may imbue all plants within range with a degree of mobility, which allows them to entwine around creatures in the area. This usage of the spell duplicates the effect of an entangle spell. Spell resistance does not keep creatures from being entangled. This effect lasts 1 hour per caster level.",PFRPG Core,1,0,0,0,0,,,,7,,,,,,,,,,,,,7,Plant (7), One or more plants animate and fight for you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Plants,16,,Verdant (17),Plant (14),"Animated plants you create with this spell get the maximum number of hit points per level, gain a +4 bonus to their Strength ability scores, and have 1-1/2 times the normal number of construction points.",,1,,7,,,,,,,,,,0,0,0,
Antilife Shell,abjuration,,,"cleric/oracle 6, druid 6, shaman 6, psychic 6",1 round,"V, S, DF",0,10 ft.,"10-ft.-radius emanation, centered on you",,,1 min./level,1,0,none,yes,"You bring into being a mobile, hemispherical energy field that prevents the entrance of most types of living creatures. The effect hedges out animals, aberrations, dragons, fey, giants, humanoids, magical beasts, monstrous humanoids, oozes, plants, and vermin, but not constructs, elementals, outsiders, or undead. This spell may be used only defensively, not aggressively. Forcing an abjuration barrier against creatures that the spell keeps at bay collapses the barrier.",PFRPG Core,1,1,0,0,1,,,6,6,,,,,,,,6,,,,,6,"Animal (6), Souls (6)",10-ft.-radius field hedges out living creatures.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antilife Shell,18,,,Animals (12),,,0,,6,6,,,,,,,6,,0,0,0,
Antipathy,enchantment,compulsion,"mind-affecting, emotion","druid 9, sorcerer/wizard 8, witch 8, summoner/unchained summoner 6, occultist 6, psychic 8",1 hour,"V, S, M/DF (a lump of alum soaked in vinegar)",0,close (25 ft. + 5 ft./2 levels),,,one location (up to a 10-ft. cube/level) or one object,2 hours/level,1,0,Will partial,yes,"You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The kind of creature to be affected must be named specifically. A creature subtype is not specific enough. Likewise, the specific alignment to be repelled must be named. Creatures of the designated kind or alignment feel an urge to leave the area or to avoid the affected item. A compulsion forces them to abandon the area or item, shunning it and never willingly returning to it while the spell is in effect. A creature that makes a successful saving throw can stay in the area or touch the item but feels uncomfortable doing so. This distracting discomfort reduces the creature's Dexterity score by 4 points. Antipathy counters and dispels sympathy.",PFRPG Core,1,1,1,0,1,8,8,,9,,,,,6,8,,,,,,,8,,Object or location affected by spell repels certain creatures.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Antipathy,20,,,Peace (18),,,0,,,8,,,6,,,,,,0,0,0,6
Antiplant Shell,abjuration,,,druid 4,1 standard action,"V, S, DF",0,10 ft.,"10-ft.-radius emanation, centered on you",,,1 min./level,1,0,none,yes,"The antiplant shell spell creates an invisible, mobile barrier that keeps all creatures within the shell protected from attacks by plant creatures or animated plants. As with many abjuration spells, forcing the barrier against creatures that the spell keeps at bay strains and collapses the field.",PFRPG Core,1,1,0,0,1,,,,4,,,,,,,,,,,,,4,, Keeps animated plants at bay.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antiplant Shell,21,,,,,,0,,,,,,,,,,4,,0,0,0,
Atonement,abjuration,,,"cleric/oracle 5, druid 5, inquisitor 5",1 hour,"V, S, M (burning incense), F (a set of prayer beads or other prayer device worth at least 500 gp), DF",1,touch,,,living creature touched,instantaneous,0,0,none,yes,"This spell removes the burden of misdeeds from the subject. The creature seeking atonement must be truly repentant and desirous of setting right its misdeeds. If the atoning creature committed the evil act unwittingly or under some form of compulsion, atonement operates normally at no cost to you. However, in the case of a creature atoning for deliberate misdeeds, you must intercede with your deity (requiring you to expend 2,500 gp in rare incense and offerings). Atonement may be cast for one of several purposes, depending on the version selected. Reverse Magical Alignment Change: If a creature has had its alignment magically changed, atonement returns its alignment to its original status at no additional cost. Restore Class: A paladin, or other class, who has lost her class features due to violating the alignment restrictions of her class may have her class features restored by this spell. Restore Cleric or Druid Spell Powers: A cleric or druid who has lost the ability to cast spells by incurring the anger of her deity may regain that ability by seeking atonement from another cleric of the same deity or another druid. If the transgression was intentional, the casting cleric must expend 2,500 gp in rare incense and offerings for her god's intercession. Redemption or Temptation: You may cast this spell upon a creature of an opposing alignment in order to offer it a chance to change its alignment to match yours. The prospective subject must be present for the entire casting process. Upon completion of the spell, the subject freely chooses whether it retains its original alignment or acquiesces to your offer and changes to your alignment. No duress, compulsion, or magical influence can force the subject to take advantage of the opportunity offered if it is unwilling to abandon its old alignment. This use of the spell does not work on outsiders or any creature incapable of changing its alignment naturally. Though the spell DESCRIPTION refers to evil acts, atonement can be used on any creature that has performed acts against its alignment, regardless of the actual alignment in question. Note: Normally, changing alignment is up to the player. This use of atonement offers a method for a character to change his or her alignment drastically, suddenly, and definitively.",PFRPG Core,1,1,1,0,1,,,5,5,,,,,,,5,5,,,,,5,"Purity (5), Redemption (5)", Removes burden of misdeeds from subject.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atonement,28,500,,,,,0,,,,,,,,,,5,,0,0,0,
