name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Aid,enchantment,compulsion,mind-affecting,"cleric/oracle 2, inquisitor 2, alchemist 2, shaman 2, spiritualist 2, medium 2",1 standard action,"V, S, DF",0,touch,,,living creature touched,1 min./level,0,0,none,yes (harmless),"Aid grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).",PFRPG Core,1,1,0,0,1,,,2,,,,,2,,,2,2,,,2,,2,"Luck (2), Tactics (2)"," +1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Aid,4,,,Ancestors (4),,,0,,2,,2,,,2,,,,,0,0,0,
Align Weapon,transmutation,,see text,"cleric/oracle 2, inquisitor 2",1 standard action,"V, S, DF",0,touch,,,weapon touched or 50 projectiles (all of which must be together at the time of casting),1 min./level,0,0,"Will negates (harmless, object)","yes (harmless, object)","Align weapon makes a weapon chaotic, evil, good, or lawful, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment. You can't cast this spell on a natural weapon, such as an unarmed strike. When you make a weapon chaotic, evil, good, or lawful, align weapon is a chaotic, evil, good, or lawful spell, respectively.",PFRPG Core,1,1,0,0,1,,,2,,,,,,,,2,2,,,,,2,"Chaos (2), Evil (2), Good (2), Law (2), Demodand (2)"," Weapon becomes good, evil, lawful, or chaotic.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Align Weapon,6,,,,,,0,,,,,,,,,,,,0,0,0,
Alarm,abjuration,,,"bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1",1 standard action,"V, S, F/DF (a tiny bell and a piece of very fine silver wire)",0,close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation centered on a point in space,,,2 hours/level,1,0,none,no,"Alarm creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the alarm. You decide at the time of casting whether the alarm will be mental or audible in nature. Mental Alarm: A mental alarm alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental ""ping"" that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental alarm. Audible Alarm: An audible alarm produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall. In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a silence spell cannot hear the ringing. Ethereal or astral creatures do not trigger the alarm. Alarm can be made permanent with a permanency spell.",PFRPG Core,1,1,0,1,1,1,1,,,1,1,,,1,,1,,,,,,1,"Home (1), Ambush (1)",Wards an area for 2 hours/level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,8,,"Destined (3), Kobold Sorcerer (3), Kobold (3)",,,,0,,,1,,,1,1,,,1,,0,0,0,1
Arcane Sight,divination,,,"sorcerer/wizard 3, witch 3, inquisitor 3, alchemist 3, magus 3, occultist 3, psychic 3",1 standard action,"V, S",0,personal,,,you,1 min./level,1,0,,,"This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a detect magic spell, but arcane sight does not require concentration and discerns aura location and power more quickly. You know the location and power of all magical auras within your sight. An aura's power depends on a spell's functioning level or an item's caster level, as noted in the DESCRIPTION of the detect magic spell. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. (Make one check per aura; DC 15 + spell level, or 15 + half caster level for a nonspell effect.) If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities, whether these are arcane or divine (spell-like abilities register as arcane), and the strength of the most powerful spell or spell-like ability the creature currently has available for use. As with detect magic, you can use this spell to identify the properties of magic items, but not artifacts. Arcane sight can be made permanent with a permanency spell.",PFRPG Core,1,1,0,0,0,3,3,,,,,,3,,3,3,,,3,,,3,, Magical auras become visible to you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arcane Sight,25,,,,,,0,,,3,,,3,,,,,,0,0,0,
Atonement,abjuration,,,"cleric/oracle 5, druid 5, inquisitor 5",1 hour,"V, S, M (burning incense), F (a set of prayer beads or other prayer device worth at least 500 gp), DF",1,touch,,,living creature touched,instantaneous,0,0,none,yes,"This spell removes the burden of misdeeds from the subject. The creature seeking atonement must be truly repentant and desirous of setting right its misdeeds. If the atoning creature committed the evil act unwittingly or under some form of compulsion, atonement operates normally at no cost to you. However, in the case of a creature atoning for deliberate misdeeds, you must intercede with your deity (requiring you to expend 2,500 gp in rare incense and offerings). Atonement may be cast for one of several purposes, depending on the version selected. Reverse Magical Alignment Change: If a creature has had its alignment magically changed, atonement returns its alignment to its original status at no additional cost. Restore Class: A paladin, or other class, who has lost her class features due to violating the alignment restrictions of her class may have her class features restored by this spell. Restore Cleric or Druid Spell Powers: A cleric or druid who has lost the ability to cast spells by incurring the anger of her deity may regain that ability by seeking atonement from another cleric of the same deity or another druid. If the transgression was intentional, the casting cleric must expend 2,500 gp in rare incense and offerings for her god's intercession. Redemption or Temptation: You may cast this spell upon a creature of an opposing alignment in order to offer it a chance to change its alignment to match yours. The prospective subject must be present for the entire casting process. Upon completion of the spell, the subject freely chooses whether it retains its original alignment or acquiesces to your offer and changes to your alignment. No duress, compulsion, or magical influence can force the subject to take advantage of the opportunity offered if it is unwilling to abandon its old alignment. This use of the spell does not work on outsiders or any creature incapable of changing its alignment naturally. Though the spell DESCRIPTION refers to evil acts, atonement can be used on any creature that has performed acts against its alignment, regardless of the actual alignment in question. Note: Normally, changing alignment is up to the player. This use of atonement offers a method for a character to change his or her alignment drastically, suddenly, and definitively.",PFRPG Core,1,1,1,0,1,,,5,5,,,,,,,5,5,,,,,5,"Purity (5), Redemption (5)", Removes burden of misdeeds from subject.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atonement,28,500,,,,,0,,,,,,,,,,5,,0,0,0,
Bane,enchantment,compulsion,"fear, mind-affecting","antipaladin 1, cleric/oracle 1, inquisitor 1, shaman 1, mesmerist 1",1 standard action,"V, S, DF",0,50 ft.,"50-ft.-radius burst, centered on you",,,1 min./level,0,0,Will negates,yes,Bane fills your enemies with fear and doubt. Each affected creature takes a -1 penalty on attack rolls and a -1 penalty on saving throws against fear effects. Bane counters and dispels bless.,PFRPG Core,1,1,0,0,1,,,1,,,,,,,,1,1,1,,,,1,Curse (1),Enemies take –1 on attack rolls and saves vs. fear.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Bane,31,,,,"The -1 penalty applies on attack rolls, weapon damage rolls, and all saving throws. Each affected creature must roll its next attack roll or saving throw twice and take the lower result.",,1,,1,,,1,,,,,,,0,0,0,
Banishment,abjuration,,,"cleric/oracle 6, sorcerer/wizard 7, summoner 5, inquisitor 5, shaman 6, psychic 7, spiritualist 6, unchained summoner 6",1 standard action,"V, S, F (see text)",0,close (25 ft. + 5 ft./2 levels),,,"one or more extraplanar creatures, no two of which can be more than 30 ft. apart",instantaneous,0,0,Will negates,yes,"A banishment spell is a more powerful version of the dismissal spell. It enables you to force extraplanar creatures out of your home plane. As many as 2 Hit Dice of creatures per caster level can be banished. You can improve the spell's chance of success by presenting at least one object or substance that the target hates, fears, or otherwise opposes. For each such object or substance, you gain a +1 bonus on your caster level check to overcome the target's Spell Resistance (if any), and the saving throw DC increases by 2. Certain rare items might work twice as well as a normal item for the purpose of the bonuses (each providing a +2 bonus on the caster level check against Spell Resistance and increasing the save DC by 4).",PFRPG Core,1,1,0,1,0,7,7,6,,,,,,5,,5,6,,,,,7,,Banishes 2 HD/level of extraplanar creatures.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banishment,32,,Celestial (15),"Boundaries (12), Dimensions (14)",,,0,,6,7,,,,6,,,,,0,0,0,6
Blade Barrier,evocation,,force,"cleric/oracle 6, inquisitor 6, occultist 6, psychic 6",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),,"wall of whirling blades up to 20 ft. long/level, or a ringed wall of whirling blades with a radius of up to 5 ft. per two levels; either form is 20 ft. high",,1 min./level (D),1,0,Reflex half or Reflex negates; see text,yes,"An immobile, vertical curtain of whirling blades shaped of pure force springs into existence. Any creature passing through the wall takes 1d6 points of damage per caster level (maximum 15d6), with a Reflex save for half damage. If you evoke the barrier so that it appears where creatures are, each creature takes damage as if passing through the wall. Each such creature can avoid the wall (ending up on the side of its choice) and thus take no damage by making a successful Reflex save. A blade barrier provides cover (+4 bonus to AC, +2 bonus on Reflex saves) against attacks made through it.",PFRPG Core,1,1,0,0,0,,,6,,,,,,,,6,6,,,,,6,"Good (6), War (6)", Wall of blades deals 1d6/level damage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Blade Barrier,43,,,Thorns (12),You may cast this spell as an immediate action. The barrier's damage increases to 1d8 per caster level (maximum 20d8).,"Augmented (3rd): If you expend two uses of mythic power, you can spend a move action to move the barrier up to 10 feet in any direction. The shape (flat or ring) and orientation (vertical or horizontal) of the wall must remain the same. If you move the barrier through a creature's space, it can attempt a saving throw to avoid the wall, as if you had created it where the creature is.",1,,,6,,,6,,,,,,0,0,0,
Blasphemy,evocation,,"evil, sonic","cleric/oracle 7, inquisitor 6",1 standard action,V,0,40 ft.,nonevil creatures in a 40-ft.-radius spread centered on you,,,instantaneous,0,0,Will partial,yes,"Any nonevil creature within the area of a blasphemy spell suffers the following ill effects. HD Effect Equal to caster level Dazed Up to caster level -1 Weakened, dazed Up to caster level -5 Paralyzed, weakened, dazed Up to caster level -10 Killed, paralyzed, weakened, dazed The effects are cumulative and concurrent. A successful Will save reduces or eliminates these effects. Creatures affected by multiple effects make only one save and apply the result to all the effects. Dazed: The creature can take no actions for 1 round, though it defends itself normally. Save negates. Weakened: The creature's Strength score decreases by 2d6 points for 2d4 rounds. Save for half. Paralyzed: The creature is paralyzed and helpless for 1d10 minutes. Save reduces the paralyzed effect to 1 round. Killed: Living creatures die. Undead creatures are destroyed. Save negates. If the save is successful, the creature instead takes 3d6 points of damage + 1 point per caster level (maximum +25). Furthermore, if you are on your home plane when you cast this spell, nonevil extraplanar creatures within the area are instantly banished back to their home planes. Creatures so banished cannot return for at least 24 hours. This effect takes place regardless of whether the creatures hear the blasphemy or not. The banishment effect allows a Will save (at a -4 penalty) to negate. Creatures whose Hit Dice exceed your caster level are unaffected by blasphemy.",PFRPG Core,1,0,0,0,0,,,7,,,,,,,,6,7,,,,,7,Evil (7)," Kills, paralyzes, weakens, or dazes nonevil subjects.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Blasphemy,44,,,,"When determining the spell's effect on non-mythic creatures, add your tier to your caster level. Nonevil creatures that fail the save take a -4 penalty on attack rolls and saving throws, and their spell resistance decreases by 5 for as long as the spell's other effects last.",,1,,,,,,,,,,,,0,0,0,
Bless,enchantment,compulsion,mind-affecting,"cleric/oracle 1, paladin 1, inquisitor 1, shaman 1",1 standard action,"V, S, DF",0,50 ft.,"The caster and all allies within a 50-ft. burst, centered on the caster",,,1 min./level,0,0,none,yes (harmless),Bless fills your allies with courage. Each ally gains a +1 morale bonus on attack rolls and on saving throws against fear effects. Bless counters and dispels bane.,PFRPG Core,1,1,0,0,1,,,1,,,,1,,,,1,1,,,1,,1,"Community (1), Leadership (1), Resolve (1)",Allies gain +1 on attack rolls and saves against fear.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bless,46,,Celestial (3),Ancestors (2),"The +1 morale bonus applies on attack rolls, weapon damage rolls, and all saving throws. Once during the spell's duration, an affected creature can roll an attack roll or saving throw twice and take the higher result. The target must decide to use this ability before the first roll is attempted.",,1,,1,,,,,,,,,,0,0,0,
