name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Aid,enchantment,compulsion,mind-affecting,"cleric/oracle 2, inquisitor 2, alchemist 2, shaman 2, spiritualist 2, medium 2",1 standard action,"V, S, DF",0,touch,,,living creature touched,1 min./level,0,0,none,yes (harmless),"Aid grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).",PFRPG Core,1,1,0,0,1,,,2,,,,,2,,,2,2,,,2,,2,"Luck (2), Tactics (2)"," +1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Aid,4,,,Ancestors (4),,,0,,2,,2,,,2,,,,,0,0,0,
Air Walk,transmutation,,air,"cleric/oracle 4, druid 4, alchemist 4, occultist 4",1 standard action,"V, S, DF",0,touch,,,creature (Gargantuan or smaller) touched,10 min./level,0,0,none,yes (harmless),"The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker's normal speed. A strong wind (21+ miles per hour) can push the subject along or hold it back. At the end of a creature's turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about. Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the air walk spell is dispelled, but not if it is negated by an antimagic field. You can cast air walk on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of air walk (counts as a trick; see Handle Animal skill) with 1 week of work and a DC 25 Handle Animal check.",PFRPG Core,1,1,0,0,1,,,4,4,,,,4,,,,4,,,,,4,Air (4),Subject treads on air as if solid (climb or descend at 45-degree angle).,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Air Walk,5,,,,,,0,,,,,,4,,,,4,,0,0,0,
Align Weapon,transmutation,,see text,"cleric/oracle 2, inquisitor 2",1 standard action,"V, S, DF",0,touch,,,weapon touched or 50 projectiles (all of which must be together at the time of casting),1 min./level,0,0,"Will negates (harmless, object)","yes (harmless, object)","Align weapon makes a weapon chaotic, evil, good, or lawful, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment. You can't cast this spell on a natural weapon, such as an unarmed strike. When you make a weapon chaotic, evil, good, or lawful, align weapon is a chaotic, evil, good, or lawful spell, respectively.",PFRPG Core,1,1,0,0,1,,,2,,,,,,,,2,2,,,,,2,"Chaos (2), Evil (2), Good (2), Law (2), Demodand (2)"," Weapon becomes good, evil, lawful, or chaotic.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Align Weapon,6,,,,,,0,,,,,,,,,,,,0,0,0,
Animate Dead,necromancy,,evil,"cleric/oracle 3, sorcerer/wizard 4, antipaladin 3, shaman 3, occultist 3, spiritualist 3",1 standard action,"V, S, M (an onyx gem worth at least 25 gp per Hit Die of the undead)",1,touch,,,one or more corpses touched,instantaneous,0,0,none,no,"This spell turns corpses into undead skeletons or zombies (see the Pathfinder RPG Bestiary) that obey your spoken commands. The undead can be made to follow you, or they can be made to remain in an area and attack any creature (or just a specific kind of creature) entering the place. They remain animated until they are destroyed. A destroyed skeleton or zombie can't be animated again. Regardless of the type of undead you create with this spell, you can't create more HD of undead than twice your caster level with a single casting of animate dead. The desecrate spell doubles this limit. The undead you create remain under your control indefinitely. No matter how many times you use this spell, however, you can control only 4 HD worth of undead creatures per caster level. If you exceed this number, all the newly created creatures fall under your control, and any excess undead from previous castings become uncontrolled. You choose which creatures are released. Undead you control through the Command Undead feat do not count toward this limit. Skeletons: A skeleton can be created only from a mostly intact corpse or skeleton. The corpse must have bones. If a skeleton is made from a corpse, the flesh falls off the bones. Zombies: A zombie can be created only from a mostly intact corpse. The corpse must be that of a creature with a physical anatomy.",PFRPG Core,1,1,1,0,0,4,4,3,,,,,,,,,3,3,,3,,4,"Death (3), Souls (3)",Creates undead skeletons and zombies.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Dead,14,25,Undead (9),Plague (8),"Add your tier to your caster level when determining how many Hit Dice of undead you can animate with a single casting of this spell. This doesn't increase the total number of Hit Dice worth of undead you can control. By expending a second use of mythic power, you can ignore the spell's material component cost.","Augmented (6th): If you expend two uses of mythic power, any skeletons or zombies you create gain either the agile (see page 224) or savage (see page 224) mythic template. This template lasts for a number of days equal to your tier. Alternatively, if you're 8th tier and expend 10 uses of mythic power, any skeletons you create permanently gain the mythic skeleton template (see page 216).",1,,3,,,,3,3,,,,,0,0,0,
Animate Objects,transmutation,,,"bard 6, cleric/oracle 6, witch 6, occultist 6, psychic 6",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),,,one Small object per caster level; see text,1 round/level,0,0,none,no,"You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate. An animated object can be of any nonmagical material. You may animate one Small or smaller object or a corresponding number of larger objects as follows: A Medium object counts as two Small or smaller objects, a Large object as four, a Huge object as eight, a Gargantuan object as 16, and a Colossal object as 32. You can change the designated target or targets as a move action, as if directing an active spell. See the Pathfinder RPG Bestiary for the statistics of animated objects. This spell cannot affect objects carried or worn by a creature. Animate objects can be made permanent with a permanency spell.",PFRPG Core,1,1,0,0,0,,,6,,,6,,,,6,,6,,,,,6,"Chaos (6), Flotsam (6)",Objects attack your foes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Objects,15,,Impossible (13),,"Animated objects you create with this spell get the maximum number of hit points per level, gain a +4 bonus to their Strength ability scores, and have 1-1/2 times the normal number of construction points.",,1,,,6,,,6,,,,,,0,0,0,
Antilife Shell,abjuration,,,"cleric/oracle 6, druid 6, shaman 6, psychic 6",1 round,"V, S, DF",0,10 ft.,"10-ft.-radius emanation, centered on you",,,1 min./level,1,0,none,yes,"You bring into being a mobile, hemispherical energy field that prevents the entrance of most types of living creatures. The effect hedges out animals, aberrations, dragons, fey, giants, humanoids, magical beasts, monstrous humanoids, oozes, plants, and vermin, but not constructs, elementals, outsiders, or undead. This spell may be used only defensively, not aggressively. Forcing an abjuration barrier against creatures that the spell keeps at bay collapses the barrier.",PFRPG Core,1,1,0,0,1,,,6,6,,,,,,,,6,,,,,6,"Animal (6), Souls (6)",10-ft.-radius field hedges out living creatures.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antilife Shell,18,,,Animals (12),,,0,,6,6,,,,,,,6,,0,0,0,
Antimagic Field,abjuration,,,"cleric/oracle 8, sorcerer/wizard 6, occultist 6, psychic 7",1 standard action,"V, S, M/DF (pinch of powdered iron or iron filings)",0,10 ft.,"10-ft.-radius emanation, centered on you",,,10 min./level (D),1,0,none,see text,"An invisible barrier surrounds you and moves with you. The space within this barrier is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities. Likewise, it prevents the functioning of any magic items or spells within its confines. An antimagic field suppresses any spell or magical effect used within, brought into, or cast into the area, but does not dispel it. Time spent within an antimagic field counts against the suppressed spell's duration. Summoned creatures of any type wink out if they enter an antimagic field. They reappear in the same spot once the field goes away. Time spent winked out counts normally against the duration of the conjuration that is maintaining the creature. If you cast antimagic field in an area occupied by a summoned creature that has spell resistance, you must make a caster level check (1d20 + caster level) against the creature's spell resistance to make it wink out. (The effects of instantaneous conjurations are not affected by an antimagic field because the conjuration itself is no longer in effect, only its result.) A normal creature can enter the area, as can normal missiles. Furthermore, while a magic sword does not function magically within the area, it is still a sword (and a masterwork sword at that). The spell has no effect on golems and other constructs that are imbued with magic during their creation process and are thereafter self-supporting (unless they have been summoned, in which case they are treated like any other summoned creatures). Elementals, undead, and outsiders are likewise unaffected unless summoned. These creatures' spell-like or supernatural abilities may be temporarily nullified by the field. Dispel magic does not remove the field. Two or more antimagic fields sharing any of the same space have no effect on each other. Certain spells, such as wall of force, prismatic sphere, and prismatic wall, remain unaffected by antimagic field. Artifacts and deities are unaffected by mortal magic such as this. Should a creature be larger than the area enclosed by the barrier, any part of it that lies outside the barrier is unaffected by the field.",PFRPG Core,1,1,1,0,1,6,6,8,,,,,,,,,8,,,,,6,"Magic (6), Protection (6)",Negates magic within 10 ft.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antimagic Field,19,,,,Select a number of spell schools equal to half your tier. Spells and effects of the chosen schools are unaffected by the antimagic field.,,1,,,7,,,6,,,,,,0,0,0,
Astral Projection,necromancy,,,"cleric/oracle 9, sorcerer/wizard 9, witch 9, psychic 9",30 minutes,"V, S, M (1,000 gp jacinth)",1,touch,,,you plus one additional willing creature touched per two caster levels,see text,0,0,none,yes,"By freeing your spirit from your physical body, this spell allows you to project an astral body onto another plane altogether. You can bring the astral forms of other willing creatures with you, provided that these subjects are linked in a circle with you at the time of the casting. These fellow travelers are dependent upon you and must accompany you at all times. If something happens to you during the journey, your companions are stranded wherever you left them. You project your astral self onto the Astral Plane, leaving your physical body behind on the Material Plane in a state of suspended animation. The spell projects an astral copy of you and all you wear or carry onto the Astral Plane. Since the Astral Plane touches upon other planes, you can travel astrally to any of these other planes as you will. To enter one, you leave the Astral Plane, forming a new physical body (and equipment) on the plane of existence you have chosen to enter. While you are on the Astral Plane, your astral body is connected at all times to your physical body by an incorporeal silver cord. If the cord is broken, you are killed, astrally and physically. Luckily, very few things can destroy a silver cord. When a second body is formed on a different plane, the silver cord remains invisibly attached to the new body. If the second body or the astral form is slain, the cord simply returns to your body where it rests on the Material Plane, thereby reviving it from its state of suspended animation. This is a traumatic affair, however, and you gain two permanent negative levels if your second body or astral form is slain. Although astral projections are able to function on the Astral Plane, their actions affect only creatures existing on the Astral Plane; a physical body must be materialized on other planes. You and your companions may travel through the Astral Plane indefinitely. Your bodies simply wait behind in a state of suspended animation until you choose to return your spirits to them. The spell lasts until you desire to end it, or until it is terminated by some outside means, such as dispel magic cast upon either the physical body or the astral form, the breaking of the silver cord, or the destruction of your body back on the Material Plane (which kills you). When this spell ends, your astral body and all of its gear, vanishes.",PFRPG Core,1,1,1,0,0,9,9,9,,,,,,,9,,9,,,,,9,Travel (9),Projects you and others onto Astral Plane.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Astral Projection,27,1000,Dreamspun (19),Stars (18),,,0,,,9,,,,,,,,,0,0,0,
Atonement,abjuration,,,"cleric/oracle 5, druid 5, inquisitor 5",1 hour,"V, S, M (burning incense), F (a set of prayer beads or other prayer device worth at least 500 gp), DF",1,touch,,,living creature touched,instantaneous,0,0,none,yes,"This spell removes the burden of misdeeds from the subject. The creature seeking atonement must be truly repentant and desirous of setting right its misdeeds. If the atoning creature committed the evil act unwittingly or under some form of compulsion, atonement operates normally at no cost to you. However, in the case of a creature atoning for deliberate misdeeds, you must intercede with your deity (requiring you to expend 2,500 gp in rare incense and offerings). Atonement may be cast for one of several purposes, depending on the version selected. Reverse Magical Alignment Change: If a creature has had its alignment magically changed, atonement returns its alignment to its original status at no additional cost. Restore Class: A paladin, or other class, who has lost her class features due to violating the alignment restrictions of her class may have her class features restored by this spell. Restore Cleric or Druid Spell Powers: A cleric or druid who has lost the ability to cast spells by incurring the anger of her deity may regain that ability by seeking atonement from another cleric of the same deity or another druid. If the transgression was intentional, the casting cleric must expend 2,500 gp in rare incense and offerings for her god's intercession. Redemption or Temptation: You may cast this spell upon a creature of an opposing alignment in order to offer it a chance to change its alignment to match yours. The prospective subject must be present for the entire casting process. Upon completion of the spell, the subject freely chooses whether it retains its original alignment or acquiesces to your offer and changes to your alignment. No duress, compulsion, or magical influence can force the subject to take advantage of the opportunity offered if it is unwilling to abandon its old alignment. This use of the spell does not work on outsiders or any creature incapable of changing its alignment naturally. Though the spell DESCRIPTION refers to evil acts, atonement can be used on any creature that has performed acts against its alignment, regardless of the actual alignment in question. Note: Normally, changing alignment is up to the player. This use of atonement offers a method for a character to change his or her alignment drastically, suddenly, and definitively.",PFRPG Core,1,1,1,0,1,,,5,5,,,,,,,5,5,,,,,5,"Purity (5), Redemption (5)", Removes burden of misdeeds from subject.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atonement,28,500,,,,,0,,,,,,,,,,5,,0,0,0,
Augury,divination,,,"cleric/oracle 2, witch 2, shaman 2, occultist 2, psychic 2, spiritualist 2, medium 2",1 minute,"V, S, M (incense worth at least 25 gp), F (a set of marked sticks or bones worth at least 25 gp)",1,personal,,,you,instantaneous,0,0,,,"An augury can tell you whether a particular action will bring good or bad results for you in the immediate future. The base chance for receiving a meaningful reply is 70% + 1% per caster level, to a maximum of 90%; this roll is made secretly. A question may be so straightforward that a successful result is automatic, or so vague as to have no chance of success. If the augury succeeds, you get one of four results: Weal (if the action will probably bring good results). Woe (for bad results). Weal and woe (for both). Nothing (for actions that don't have especially good or bad results). If the spell fails, you get the ""nothing"" result. A cleric who gets the ""nothing"" result has no way to tell whether it was the consequence of a failed or successful augury. The augury can see into the future only about half an hour, so anything that might happen after that does not affect the result. Thus, the result might not take into account the long-term consequences of a contemplated action. All auguries cast by the same person about the same topic use the same die result as the first casting.",PFRPG Core,1,1,1,1,0,,,2,,,,,,,2,,2,,,,,2,Fate (2), Learns whether an action will be good or bad.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Augury,29,25,"Dreamspun (5), Harrow (5)",,,,0,,2,2,2,,2,2,,,,,0,0,0,
