name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Bless,enchantment,compulsion,mind-affecting,"cleric/oracle 1, paladin 1, inquisitor 1, shaman 1",1 standard action,"V, S, DF",0,50 ft.,"The caster and all allies within a 50-ft. burst, centered on the caster",,,1 min./level,0,0,none,yes (harmless),Bless fills your allies with courage. Each ally gains a +1 morale bonus on attack rolls and on saving throws against fear effects. Bless counters and dispels bane.,PFRPG Core,1,1,0,0,1,,,1,,,,1,,,,1,1,,,1,,1,"Community (1), Leadership (1), Resolve (1)",Allies gain +1 on attack rolls and saves against fear.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bless,46,,Celestial (3),Ancestors (2),"The +1 morale bonus applies on attack rolls, weapon damage rolls, and all saving throws. Once during the spell's duration, an affected creature can roll an attack roll or saving throw twice and take the higher result. The target must decide to use this ability before the first roll is attempted.",,1,,1,,,,,,,,,,0,0,0,
Bless Water,transmutation,,good,"cleric/oracle 1, paladin 1, inquisitor 1",1 minute,"V, S, M (5 pounds of powdered silver worth 25 gp)",1,touch,,,flask of water touched,instantaneous,0,0,Will negates (object),yes (object),"This transmutation imbues a flask (1 pint) of water with positive energy, turning it into holy water.",PFRPG Core,1,1,1,0,0,,,1,,,,1,,,,1,1,,,,,1,Divine (2),Makes holy water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Bless Water,47,25,,Water (2),,,0,,,,,,,,,,,,0,0,0,
Bless Weapon,transmutation,,,paladin 1,1 standard action,"V, S",0,touch,,,weapon touched,1 min./level,0,0,none,no,"This transmutation makes a weapon strike true against evil foes. The weapon is treated as having a +1 enhancement bonus for the purpose of bypassing the DR of evil creatures or striking evil incorporeal creatures (though the spell doesn't grant an actual enhancement bonus). The weapon also becomes good-aligned, which means it can bypass the DR of certain creatures. (This effect overrides and suppresses any other alignment the weapon might have.) Individual arrows or bolts can be transmuted, but affected projectile weapons (such as bows) don't confer the benefit to the projectiles they shoot. In addition, all critical hit rolls against evil foes are automatically successful, so every threat is a critical hit. This last effect does not apply to any weapon that already has a magical effect related to critical hits, such as a keen weapon or a vorpal sword.",PFRPG Core,1,1,0,0,0,,,,,,,1,,,,,,,,,,1,Glory (2), Weapon strikes true against evil foes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bless Weapon,48,,,,,,0,,,,,,,,,,,,0,0,0,
Break Enchantment,abjuration,,,"bard 4, cleric/oracle 5, paladin 4, sorcerer/wizard 5, witch 5, inquisitor 5, shaman 5, occultist 4, psychic 4, mesmerist 4, spiritualist 5, medium 4",1 minute,"V, S",0,close (25 ft. + 5 ft./2 levels),,,"up to one creature per level, all within 30 ft. of each other",instantaneous,0,0,see text,no,"This spell frees victims from enchantments, transmutations, and curses. Break enchantment can reverse even an instantaneous effect. For each such effect, you make a caster level check (1d20 + caster level, maximum +15) against a DC of 11 + caster level of the effect. Success means that the creature is free of the spell, curse, or effect. For a cursed magic item, the DC is equal to the DC of the curse. If the spell is one that cannot be dispelled by dispel magic or stone to flesh, break enchantment works only if that spell is 5th level or lower. If the effect comes from a permanent magic item, break enchantment does not remove the curse from the item, but it does free the victim from the item's effects.",PFRPG Core,1,1,0,0,0,5,5,5,,,4,4,,,5,5,5,,,5,,5,"Liberation (5), Luck (5), Restoration (5)","Frees subjects from enchantments, transmutations, and curses.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Break Enchantment,53,,Destined (11),,"Against non-mythic effects, the spell automatically succeeds without requiring a caster level check. Against mythic effects, add your tier to your caster level check. The maximum level of spell this spell can remove is 5 + half your tier.","Augmented (7th): If you expend two uses of mythic power, you can apply a removed enchantment, transmutation, or curse to the creature that originally cast it. The creature must be a valid target of the spell and on the same plane as you, and it gets a saving throw at the effect's original DC.",1,,5,4,4,4,4,5,,,,,0,0,0,
Bull's Strength,transmutation,,,"cleric/oracle 2, druid 2, paladin 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, antipaladin 2, magus 2, bloodrager 2, shaman 2, psychic 2, medium 2",1 standard action,"V, S, M/DF (a few hairs, or a pinch of dung, from a bull)",0,touch,,,creature touched,1 min./level,0,0,Will negates (harmless),yes (harmless),"The subject becomes stronger. The spell grants a +4 enhancement bonus to Strength, adding the usual benefits to melee attack rolls, melee damage rolls, and other uses of the Strength modifier.",PFRPG Core,1,1,1,0,1,2,2,2,2,,,2,2,2,,,2,2,2,2,,2,"Rage (2), Strength (2)",Subject gains +4 to Str for 1 min./level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bull's Strength,55,,"Abyssal (5), Orc (5)",Strength (4),,,0,2,2,2,2,,,,,,2,,0,0,0,2
Create Water,conjuration,creation,water,"cleric/oracle 0, druid 0, paladin 1, inquisitor 0, shaman 0, occultist 0",1 standard action,"V, S",0,close (25 ft. + 5 ft./2 levels),,up to 2 gallons of water/level,,instantaneous,0,0,none,no,"This spell generates wholesome, drinkable water, just like clean rain water. Water can be created in an area as small as will actually contain the liquid, or in an area three times as large--possibly creating a downpour or filling many small receptacles. This water disappears after 1 day if not consumed. Note: Conjuration spells can't create substances or objects within a creature. Water weighs about 8 pounds per gallon. One cubic foot of water contains roughly 8 gallons and weighs about 60 pounds.",PFRPG Core,1,1,0,0,0,,,0,0,,,1,,,,0,0,,,0,,0,,Creates 2 gallons/level of pure water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Create Water,104,,,,,,0,,0,,,,0,,,,0,,0,0,0,
Cure Light Wounds,conjuration,healing,,"bard 1, cleric/oracle 1, druid 1, paladin 1, ranger 2, witch 1, inquisitor 1, alchemist 1, shaman 1, occultist 1, spiritualist 1",1 standard action,"V, S",0,touch,,,creature touched,instantaneous,0,0,Will half (harmless); see text,yes (harmless); see text,"When laying your hand upon a living creature, you channel positive energy that cures 1d8 points of damage + 1 point per caster level (maximum +5). Since undead are powered by negative energy, this spell deals damage to them instead of curing their wounds. An undead creature can apply spell resistance, and can attempt a Will save to take half damage.",PFRPG Core,1,1,0,0,0,,,1,1,2,1,1,1,,1,1,1,,,1,,1,Healing (1),Cures 1d8 damage + 1/level (max +5).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cure Light Wounds,108,,,,The damage cured increases to 2d8 points of damage + 2 points per caster level (maximum +10). The spell cures up to 1 point of ability damage if the target is a living creature. The target chooses what type of ability damage is cured.,,1,,1,,,,1,1,,,1,,0,0,0,
Cure Moderate Wounds,conjuration,healing,,"bard 2, cleric/oracle 2, druid 3, paladin 3, ranger 3, witch 2, inquisitor 2, alchemist 2, shaman 2, occultist 2, spiritualist 2",1 standard action,"V, S",0,touch,,,creature touched,instantaneous,0,0,Will half (harmless); see text,yes (harmless); see text,"This spell functions like cure light wounds, except that it cures 2d8 points of damage + 1 point per caster level (maximum +10).",PFRPG Core,1,1,0,0,0,,,2,3,3,2,3,2,,2,2,2,,,2,,2,Healing (2),Cures 2d8 damage + 1/level (max +10).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cure Moderate Wounds,112,,,,The damage cured increases to 4d8 points of damage + 2 points per caster level (maximum +20). The spell cures up to 2 points of ability damage if the target is a living creature. The target chooses what types of ability damage are cured.,,1,,2,,,,2,2,,,3,,0,0,0,
Cure Serious Wounds,conjuration,healing,,"bard 3, cleric/oracle 3, druid 4, paladin 4, ranger 4, witch 4, inquisitor 3, alchemist 3, shaman 3, occultist 3, spiritualist 3",1 standard action,"V, S",0,touch,,,creature touched,instantaneous,0,0,Will half (harmless); see text,yes (harmless); see text,"This spell functions like cure light wounds, except that it cures 3d8 points of damage + 1 point per caster level (maximum +15).",PFRPG Core,1,1,0,0,0,,,3,4,4,3,4,3,,4,3,3,,,3,,3,Healing (3),Cures 3d8 damage + 1/level (max +15).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cure Serious Wounds,114,,,,The damage cured increases to 6d8 points of damage + 2 points per caster level (maximum +30). The spell cures up to 3 points of ability damage if the target is a living creature. The target chooses what types of ability damage are cured.,,1,,3,,,,3,3,,,4,,0,0,0,
Daylight,evocation,,light,"bard 3, cleric/oracle 3, druid 3, paladin 3, sorcerer/wizard 3, inquisitor 3, magus 3, shaman 3, occultist 3",1 standard action,"V, S",0,touch,,,object touched,10 min./level (D),1,0,none,no,"You touch an object when you cast this spell, causing the object to shed bright light in a 60-foot radius. This illumination increases the light level for an additional 60 feet by one step (darkness becomes dim light, dim light becomes normal light, and normal light becomes bright light). Creatures that take penalties in bright light take them while within the 60-foot radius of this magical light. Despite its name, this spell is not the equivalent of daylight for the purposes of creatures that are damaged or destroyed by such light. If daylight is cast on a small object that is then placed inside or under a light-proof covering, the spell's effects are blocked until the covering is removed. Daylight brought into an area of magical darkness (or vice versa) is temporarily negated, so that the otherwise prevailing light conditions exist in the overlapping areas of effect. Daylight counters or dispels any darkness spell of equal or lower level, such as darkness.",PFRPG Core,1,1,0,0,0,3,3,3,3,,3,3,,,,3,3,,3,3,,3,"Day (3), Light (3)",60-ft. radius of bright light.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Daylight,120,,,"Light (6), Summer (6)",The illumination in the additional 60 foot radius increases to at least normal light regardless of the existing lighting conditions. Creatures that take penalties in bright light double those penalties while in the area of bright light produced by this spell. All other creatures in the area of bright light gain a +2 circumstance bonus on Perception checks and saves to resist fear.,,1,,3,,,,3,,,,3,,0,0,0,
