name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Acid Arrow,conjuration,creation,acid,"sorcerer/wizard 2, magus 2, bloodrager 2",1 standard action,"V, S, M (rhubarb leaf and an adder's stomach), F (a dart)",0,long (400 ft. + 40 ft./level),,one arrow of acid,,1 round + 1 round per three levels,0,0,none,no,"An arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels you possess, the acid, unless neutralized, lasts for another round (to a maximum of 6 additional rounds at 18th level), dealing another 2d4 points of damage in each round.",PFRPG Core,1,1,1,1,0,2,2,,,,,,,,,,,,2,,,2,, Ranged touch attack; 2d4 damage for 1 round + 1 round/three levels.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acid Arrow,1,,,,,,0,2,,,,,,,,,,,0,0,0,
Acid Fog,conjuration,creation,acid,"sorcerer/wizard 6, magus 6, unchained summoner 6",1 standard action,"V, S, M (powdered peas and an animal hoof)",0,medium (100 ft. + 10 ft./level),,"fog spreads in 20-ft. radius, 20 ft. high",,1 round/level,0,0,none,no,"Acid fog creates a billowing mass of misty vapors like the solid fog spell. In addition to slowing down creatures and obscuring sight, this spell's vapors are highly acidic. Each round on your turn, starting when you cast the spell, the fog deals 2d6 points of acid damage to each creature and object within it.",PFRPG Core,1,1,1,0,0,6,6,,,,,,,,,,,,6,,,6,, Fog deals acid damage.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acid Fog,2,,,,,,0,,,,,,,,,,,,0,0,0,6
Alter Self,transmutation,polymorph,,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,personal,,,you,1 min./level,1,0,,,"When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet. Small creature: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity. Medium creature: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.",PFRPG Core,1,1,1,0,0,2,2,,,,2,,2,2,2,,,,2,,,2,,Assume form of a Small or Medium humanoid.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alter Self,7,,,,,,0,,2,2,2,2,,,,,,,0,0,0,2
Alarm,abjuration,,,"bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1",1 standard action,"V, S, F/DF (a tiny bell and a piece of very fine silver wire)",0,close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation centered on a point in space,,,2 hours/level,1,0,none,no,"Alarm creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the alarm. You decide at the time of casting whether the alarm will be mental or audible in nature. Mental Alarm: A mental alarm alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental ""ping"" that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental alarm. Audible Alarm: An audible alarm produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall. In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a silence spell cannot hear the ringing. Ethereal or astral creatures do not trigger the alarm. Alarm can be made permanent with a permanency spell.",PFRPG Core,1,1,0,1,1,1,1,,,1,1,,,1,,1,,,,,,1,"Home (1), Ambush (1)",Wards an area for 2 hours/level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,8,,"Destined (3), Kobold Sorcerer (3), Kobold (3)",,,,0,,,1,,,1,1,,,1,,0,0,0,1
Analyze Dweomer,divination,,,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6, occultist 6, psychic 6, spiritualist 6",1 standard action,"V, S, F (a ruby and gold lens worth 1,500 gp)",1,close (25 ft. + 5 ft./2 levels),,,one object or creature per caster level,1 round/level,1,0,none or Will negates; see text,no,"You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level. An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other analyze dweomer spells for 24 hours. Analyze dweomer does not function when used on an artifact.",PFRPG Core,1,1,0,1,0,6,6,,,,6,,6,,6,,,,,,,6,Arcane (6),Reveals magical aspects of subject.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Analyze Dweomer,9,1500,,,,,0,,,6,,,6,6,,,,,0,0,0,
Animal Growth,transmutation,,,"druid 5, ranger 4, sorcerer/wizard 5, shaman 5",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),,,one animal (Gargantuan or smaller),1 min./level,0,0,Fortitude negates,yes,"The target animal grows to twice its normal size and eight times its normal weight. This alteration changes the animal's size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 hit points per HD), and imposes a -2 size penalty to Dexterity. The creature's existing natural armor bonus increases by 2. The size change also affects the animal's modifier to AC, attack rolls, and its base damage. The animal's space and reach change as appropriate to the new size, but its speed does not change. If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check (using its increased Strength) to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it--the spell cannot be used to crush a creature by increasing its size. All equipment worn or carried by the animal is similarly enlarged by the spell, though this change has no effect on the magical properties of any such equipment. Any enlarged item that leaves the enlarged creature's possession instantly returns to its normal size. The spell gives no means of command over an enlarged animal. Multiple magical effects that increase size do not stack.",PFRPG Core,1,1,0,0,0,5,5,,5,4,,,,,,,,,,,,5,Scalykind (5),One animal doubles in size.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animal Growth,10,,,Animals (10),,,0,,5,,,,,,,,4,,0,0,0,
Animate Dead,necromancy,,evil,"cleric/oracle 3, sorcerer/wizard 4, antipaladin 3, shaman 3, occultist 3, spiritualist 3",1 standard action,"V, S, M (an onyx gem worth at least 25 gp per Hit Die of the undead)",1,touch,,,one or more corpses touched,instantaneous,0,0,none,no,"This spell turns corpses into undead skeletons or zombies (see the Pathfinder RPG Bestiary) that obey your spoken commands. The undead can be made to follow you, or they can be made to remain in an area and attack any creature (or just a specific kind of creature) entering the place. They remain animated until they are destroyed. A destroyed skeleton or zombie can't be animated again. Regardless of the type of undead you create with this spell, you can't create more HD of undead than twice your caster level with a single casting of animate dead. The desecrate spell doubles this limit. The undead you create remain under your control indefinitely. No matter how many times you use this spell, however, you can control only 4 HD worth of undead creatures per caster level. If you exceed this number, all the newly created creatures fall under your control, and any excess undead from previous castings become uncontrolled. You choose which creatures are released. Undead you control through the Command Undead feat do not count toward this limit. Skeletons: A skeleton can be created only from a mostly intact corpse or skeleton. The corpse must have bones. If a skeleton is made from a corpse, the flesh falls off the bones. Zombies: A zombie can be created only from a mostly intact corpse. The corpse must be that of a creature with a physical anatomy.",PFRPG Core,1,1,1,0,0,4,4,3,,,,,,,,,3,3,,3,,4,"Death (3), Souls (3)",Creates undead skeletons and zombies.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Dead,14,25,Undead (9),Plague (8),"Add your tier to your caster level when determining how many Hit Dice of undead you can animate with a single casting of this spell. This doesn't increase the total number of Hit Dice worth of undead you can control. By expending a second use of mythic power, you can ignore the spell's material component cost.","Augmented (6th): If you expend two uses of mythic power, any skeletons or zombies you create gain either the agile (see page 224) or savage (see page 224) mythic template. This template lasts for a number of days equal to your tier. Alternatively, if you're 8th tier and expend 10 uses of mythic power, any skeletons you create permanently gain the mythic skeleton template (see page 216).",1,,3,,,,3,3,,,,,0,0,0,
Animate Rope,transmutation,,,"bard 1, sorcerer/wizard 1, psychic 1, mesmerist 1",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),,,"one rope-like object, length up to 50 ft. + 5 ft./level; see text",1 round/level,0,0,none,no,"You can animate a nonliving rope-like object. The maximum length assumes a rope with a 1-inch diameter. Reduce the maximum length by 50% for every additional inch of thickness, and increase it by 50% for each reduction of the rope's diameter by half. The possible commands are ""coil"" (form a neat, coiled stack), ""coil and knot,"" ""loop,"" ""loop and knot,"" ""tie and knot,"" and the opposites of all of the above (""uncoil,"" and so forth). You can give one command each round as a move action, as if directing an active spell. The rope can enwrap only a creature or an object within 1 foot of it - it does not snake outward - so it must be thrown near the intended target. Doing so requires a successful ranged touch attack roll (range increment 10 feet). A typical 1-inch-diameter hemp rope has 2 hit points, AC 10, and requires a DC 23 Strength check to burst it. The rope does not deal damage, but it can be used as a trip line or to cause a single opponent that fails a Reflex saving throw to become entangled. A creature capable of spellcasting that is bound by this spell must make a concentration check with a DC of 15 + the spell's level to cast a spell. An entangled creature can slip free with a DC 20 Escape Artist check. The rope itself and any knots tied in it are not magical. The spell cannot affect objects carried or worn by a creature.",PFRPG Core,1,1,0,0,0,1,1,,,,1,,,,,,,,,,,1,Artifice (1),Makes a rope move at your command.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Rope,17,,,Trickery (2),,,0,,,1,,1,,,,,,,0,0,0,
Antimagic Field,abjuration,,,"cleric/oracle 8, sorcerer/wizard 6, occultist 6, psychic 7",1 standard action,"V, S, M/DF (pinch of powdered iron or iron filings)",0,10 ft.,"10-ft.-radius emanation, centered on you",,,10 min./level (D),1,0,none,see text,"An invisible barrier surrounds you and moves with you. The space within this barrier is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities. Likewise, it prevents the functioning of any magic items or spells within its confines. An antimagic field suppresses any spell or magical effect used within, brought into, or cast into the area, but does not dispel it. Time spent within an antimagic field counts against the suppressed spell's duration. Summoned creatures of any type wink out if they enter an antimagic field. They reappear in the same spot once the field goes away. Time spent winked out counts normally against the duration of the conjuration that is maintaining the creature. If you cast antimagic field in an area occupied by a summoned creature that has spell resistance, you must make a caster level check (1d20 + caster level) against the creature's spell resistance to make it wink out. (The effects of instantaneous conjurations are not affected by an antimagic field because the conjuration itself is no longer in effect, only its result.) A normal creature can enter the area, as can normal missiles. Furthermore, while a magic sword does not function magically within the area, it is still a sword (and a masterwork sword at that). The spell has no effect on golems and other constructs that are imbued with magic during their creation process and are thereafter self-supporting (unless they have been summoned, in which case they are treated like any other summoned creatures). Elementals, undead, and outsiders are likewise unaffected unless summoned. These creatures' spell-like or supernatural abilities may be temporarily nullified by the field. Dispel magic does not remove the field. Two or more antimagic fields sharing any of the same space have no effect on each other. Certain spells, such as wall of force, prismatic sphere, and prismatic wall, remain unaffected by antimagic field. Artifacts and deities are unaffected by mortal magic such as this. Should a creature be larger than the area enclosed by the barrier, any part of it that lies outside the barrier is unaffected by the field.",PFRPG Core,1,1,1,0,1,6,6,8,,,,,,,,,8,,,,,6,"Magic (6), Protection (6)",Negates magic within 10 ft.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antimagic Field,19,,,,Select a number of spell schools equal to half your tier. Spells and effects of the chosen schools are unaffected by the antimagic field.,,1,,,7,,,6,,,,,,0,0,0,
Antipathy,enchantment,compulsion,"mind-affecting, emotion","druid 9, sorcerer/wizard 8, witch 8, summoner/unchained summoner 6, occultist 6, psychic 8",1 hour,"V, S, M/DF (a lump of alum soaked in vinegar)",0,close (25 ft. + 5 ft./2 levels),,,one location (up to a 10-ft. cube/level) or one object,2 hours/level,1,0,Will partial,yes,"You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The kind of creature to be affected must be named specifically. A creature subtype is not specific enough. Likewise, the specific alignment to be repelled must be named. Creatures of the designated kind or alignment feel an urge to leave the area or to avoid the affected item. A compulsion forces them to abandon the area or item, shunning it and never willingly returning to it while the spell is in effect. A creature that makes a successful saving throw can stay in the area or touch the item but feels uncomfortable doing so. This distracting discomfort reduces the creature's Dexterity score by 4 points. Antipathy counters and dispels sympathy.",PFRPG Core,1,1,1,0,1,8,8,,9,,,,,6,8,,,,,,,8,,Object or location affected by spell repels certain creatures.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Antipathy,20,,,Peace (18),,,0,,,8,,,6,,,,,,0,0,0,6
