name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Alter Self,transmutation,polymorph,,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,personal,,,you,1 min./level,1,0,,,"When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet. Small creature: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity. Medium creature: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.",PFRPG Core,1,1,1,0,0,2,2,,,,2,,2,2,2,,,,2,,,2,,Assume form of a Small or Medium humanoid.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alter Self,7,,,,,,0,,2,2,2,2,,,,,,,0,0,0,2
Alarm,abjuration,,,"bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1",1 standard action,"V, S, F/DF (a tiny bell and a piece of very fine silver wire)",0,close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation centered on a point in space,,,2 hours/level,1,0,none,no,"Alarm creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the alarm. You decide at the time of casting whether the alarm will be mental or audible in nature. Mental Alarm: A mental alarm alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental ""ping"" that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental alarm. Audible Alarm: An audible alarm produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall. In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a silence spell cannot hear the ringing. Ethereal or astral creatures do not trigger the alarm. Alarm can be made permanent with a permanency spell.",PFRPG Core,1,1,0,1,1,1,1,,,1,1,,,1,,1,,,,,,1,"Home (1), Ambush (1)",Wards an area for 2 hours/level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alarm,8,,"Destined (3), Kobold Sorcerer (3), Kobold (3)",,,,0,,,1,,,1,1,,,1,,0,0,0,1
Antipathy,enchantment,compulsion,"mind-affecting, emotion","druid 9, sorcerer/wizard 8, witch 8, summoner/unchained summoner 6, occultist 6, psychic 8",1 hour,"V, S, M/DF (a lump of alum soaked in vinegar)",0,close (25 ft. + 5 ft./2 levels),,,one location (up to a 10-ft. cube/level) or one object,2 hours/level,1,0,Will partial,yes,"You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The kind of creature to be affected must be named specifically. A creature subtype is not specific enough. Likewise, the specific alignment to be repelled must be named. Creatures of the designated kind or alignment feel an urge to leave the area or to avoid the affected item. A compulsion forces them to abandon the area or item, shunning it and never willingly returning to it while the spell is in effect. A creature that makes a successful saving throw can stay in the area or touch the item but feels uncomfortable doing so. This distracting discomfort reduces the creature's Dexterity score by 4 points. Antipathy counters and dispels sympathy.",PFRPG Core,1,1,1,0,1,8,8,,9,,,,,6,8,,,,,,,8,,Object or location affected by spell repels certain creatures.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Antipathy,20,,,Peace (18),,,0,,,8,,,6,,,,,,0,0,0,6
Banishment,abjuration,,,"cleric/oracle 6, sorcerer/wizard 7, summoner 5, inquisitor 5, shaman 6, psychic 7, spiritualist 6, unchained summoner 6",1 standard action,"V, S, F (see text)",0,close (25 ft. + 5 ft./2 levels),,,"one or more extraplanar creatures, no two of which can be more than 30 ft. apart",instantaneous,0,0,Will negates,yes,"A banishment spell is a more powerful version of the dismissal spell. It enables you to force extraplanar creatures out of your home plane. As many as 2 Hit Dice of creatures per caster level can be banished. You can improve the spell's chance of success by presenting at least one object or substance that the target hates, fears, or otherwise opposes. For each such object or substance, you gain a +1 bonus on your caster level check to overcome the target's Spell Resistance (if any), and the saving throw DC increases by 2. Certain rare items might work twice as well as a normal item for the purpose of the bonuses (each providing a +2 bonus on the caster level check against Spell Resistance and increasing the save DC by 4).",PFRPG Core,1,1,0,1,0,7,7,6,,,,,,5,,5,6,,,,,7,,Banishes 2 HD/level of extraplanar creatures.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banishment,32,,Celestial (15),"Boundaries (12), Dimensions (14)",,,0,,6,7,,,,6,,,,,0,0,0,6
Barkskin,transmutation,,,"druid 2, ranger 2, summoner/unchained summoner 2, alchemist 2, shaman 2",1 standard action,"V, S, DF",0,touch,,,living creature touched,10 min./level,0,0,none,yes (harmless),"Barkskin toughens a creature's skin. The effect grants a +2 enhancement bonus to the creature's existing natural armor bonus. This enhancement bonus increases by 1 for every three caster levels above 3rd, to a maximum of +5 at 12th level. The enhancement bonus provided by barkskin stacks with the target's natural armor bonus, but not with other enhancement bonuses to natural armor. A creature without natural armor has an effective natural armor bonus of +0.",PFRPG Core,1,1,0,0,1,,,,2,2,,,2,2,,,,,,,,2,"Defense (2), Plant (2)",Grants +2 (or higher) enhancement to natural armor.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barkskin,33,,Verdant (5),,The target also gains DR/magic equal to the double the enhancement bonus the spell provides to the target's natural armor bonus.,"Augmented (6th): If you expend two uses of mythic power, the spell grants DR/epic rather than DR/magic.",1,,2,,,,,,,,2,,0,0,0,2
Bear's Endurance,transmutation,,,"cleric/oracle 2, druid 2, ranger 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, bloodrager 2, shaman 2, psychic 2, medium 2",1 standard action,"V, S, M/DF (a few hairs, or a pinch of dung, from a bear)",0,touch,,,creature touched,1 min./level,0,0,Will negates (harmless),yes,"The affected creature gains greater vitality and stamina. The spell grants the subject a +4 enhancement bonus to Constitution, which adds the usual benefits to hit points, Fortitude saves, Constitution checks, and so forth. Hit points gained by a temporary increase in Constitution score are not temporary hit points. They go away when the subject's Constitution drops back to normal. They are not lost first as temporary hit points are.",PFRPG Core,1,1,1,0,1,2,2,2,2,2,,,2,2,,,2,,2,2,,2,,Subject gains +4 to Con for 1 min./level.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear's Endurance,34,,,"Endurance (4), Transformation (4)",,,0,2,2,2,2,,,,,,2,,0,0,0,2
"Bear's Endurance, Mass",transmutation,,,"cleric/oracle 6, druid 6, sorcerer/wizard 6, summoner 4, magus 6, shaman 6, psychic 6, unchained summoner 6",1 standard action,"V, S, M/DF (a few hairs, or a pinch of dung, from a bear)",0,close (25 ft. + 5 ft./2 levels),,,"creature one creature/level, no two of which can be more than 30 ft. apart",1 min./level,0,0,Will negates (harmless),yes,"Mass bear's endurance works like bear's endurance, except that it affects multiple creatures.",PFRPG Core,1,1,1,0,1,6,6,6,6,,,,,4,,,6,,6,,,6,,"As bear’s endurance, affects 1 subject/level.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bear's Endurance, Mass",35,,,Endurance (12),,,0,,6,6,,,,,,,6,,0,0,0,6
Binding,enchantment,compulsion,mind-affecting,"sorcerer/wizard 8, summoner/unchained summoner 6, psychic 8",1 minute,"V, S, M (opals worth 500 gp per HD of the target creature, plus other components as specified below)",1,close (25 ft. + 5 ft./2 levels),,,one living creature,see text,1,0,Will negates; see text,yes,"A binding spell creates a magical restraint to hold a creature. The target gets an initial saving throw only if its Hit Dice equal at least half your caster level. You may have as many as six assistants help you with the spell. For each assistant who casts suggestion, your caster level for this casting of binding increases by 1. For each assistant who casts dominate animal, dominate person, or dominate monster, your caster level for this casting of binding increases by a number equal to a third of that assistant's level, provided that the spell's target is appropriate for a binding spell. Since the assistants' spells are cast simply to improve your caster level for the purpose of the binding spell, saving throws and spell resistance against the assistants' spells are irrelevant. Your caster level determines whether the target gets an initial Will saving throw and how long the binding lasts. All binding spells are dismissible. Regardless of the version of binding you cast, you can specify triggering conditions that end the spell and release the creature whenever they occur. These triggers can be as simple or elaborate as you desire, but the condition must be reasonable and have a likelihood of coming to pass. The conditions can be based on a creature's name, identity, or alignment, but otherwise must be based on observable actions or qualities. Intangibles such as level, class, Hit Dice, or hit points don't qualify. Once the spell is cast, its triggering conditions cannot be changed. Setting a release condition increases the save DC (assuming a saving throw is allowed) by 2. If you cast any of the first three versions of binding (those with limited durations), you may cast additional binding spells to prolong the effect, overlapping the durations. If you do so, the target gets a saving throw at the end of the first spell's duration, even if your caster level was high enough to disallow an initial saving throw. If the creature's save succeeds, all binding spells it has received are broken. The binding spell has six versions. Choose one of the following versions when you cast the spell. Chaining: The subject is confined by restraints that generate an antipathy spell affecting all creatures who approach the subject, except you. The duration is 1 year per caster level. The subject of this form of binding is confined to the spot it occupied when it received the spell. Casting this version requires a chain that is long enough to wrap around the creature three times. Slumber: This version causes the subject to become comatose for as long as 1 year per caster level. The subject does not need to eat or drink while slumbering, nor does it age. This form of binding is slightly easier to resist. Reduce the spell's save DC by 1. Casting this version requires a jar of sand or rose petals. This is a sleep effect. Bound Slumber: This combination of chaining and slumber lasts for as long as 1 month per caster level. Reduce the save DC by 2. Casting this version requires both a long chain and a jar of sand or rose petals. This is a sleep effect. Hedged Prison: The subject is transported to or otherwise brought within a confined area from which it cannot wander by any means. This effect is permanent. Reduce the save DC by 3. Casting this version requires a tiny golden cage worth 100 gp that is consumed when the spell is cast. Metamorphosis: The subject assumes gaseous form, except for its head or face. It is held harmless in a jar or other container, which may be transparent if you so choose. The creature remains aware of its surroundings and can speak, but it cannot leave the container, attack, or use any of its powers or abilities. The binding is permanent. The subject does not need to breathe, eat, or drink while metamorphosed, nor does it age. Reduce the save DC by 4. Minimus Containment: The subject is shrunk to a height of 1 inch or less and held within some gem, jar, or similar object. The binding is permanent. The subject does not need to breathe, eat, or drink while contained, nor does it age. Reduce the save DC by 4. You can't dispel a binding spell with dispel magic or a similar effect, though an antimagic field or mage's disjunction affects it normally. A bound extraplanar creature cannot be sent back to its home plane by dismissal, banishment, or a similar effect.",PFRPG Core,1,1,1,0,0,8,8,,,,,,,6,,,,,,,,8,Slavery (8), Utilizes an array of techniques to imprison a creature.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Binding,41,500,,,,,0,,,8,,,,,,,,,0,0,0,6
Black Tentacles,conjuration,creation,,"sorcerer/wizard 4, witch 4, summoner 3, magus 4, bloodrager 4, psychic 4, spiritualist 4, unchained summoner 4",1 standard action,"V, S, M (octopus or squid tentacle)",0,medium (100 ft. + 10 ft./level),20-ft.-radius spread,,,1 round/level (D),1,0,none,no,"This spell causes a field of rubbery black tentacles to appear, burrowing up from the floor and reaching for any creature in the area. Every creature within the area of the spell is the target of a combat maneuver check made to grapple each round at the beginning of your turn, including the round that black tentacles is cast. Creatures that enter the area of effect are also automatically attacked. The tentacles do not provoke attacks of opportunity. When determining the tentacles' CMB, the tentacles use your caster level as their base attack bonus and receive a +4 bonus due to their Strength and a +1 size bonus. Roll only once for the entire spell effect each round and apply the result to all creatures in the area of effect. If the tentacles succeed in grappling a foe, that foe takes 1d6+4 points of damage and gains the grappled condition. Grappled opponents cannot move without first breaking the grapple. All other movement is prohibited unless the creature breaks the grapple first. The black tentacles spell receives a +5 bonus on grapple checks made against opponents it is already grappling, but cannot move foes or pin foes. Each round that black tentacles succeeds on a grapple check, it deals an additional 1d6+4 points of damage. The CMD of black tentacles, for the purposes of escaping the grapple, is equal to 10 + its CMB. The tentacles created by this spell cannot be damaged, but they can be dispelled as normal. The entire area of effect is considered difficult terrain while the tentacles last.",PFRPG Core,1,1,1,0,0,4,4,,,,,,,3,4,,,,4,,,4,, Tentacles grapple all creatures within a 20-ft. spread.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Tentacles,42,,"Aberrant (Sorcerer) (9), Aberrant (BloodRager) (16)",Occult (8),Add your tier to the base attack bonus of the tentacles. The tentacles also deal an additional 2d6 points of acid damage with a successful grapple.,"Augmented (6th): If you expend two uses of mythic power, the spell creates twice as many tentacles in the same area, meaning each creature in the area is attacked twice per round. The tentacles can grapple creatures that are immune to grappling if that immunity is from a non-mythic source, but combat maneuver checks to grapple such creatures take a -5 penalty.",1,4,,4,,,,4,,,,,0,0,0,4
Blur,illusion,glamer,,"bard 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2",1 standard action,V,0,touch,,,creature touched,1 min./level,1,0,Will negates (harmless),yes (harmless),"The subject's outline appears blurred, shifting, and wavering. This distortion grants the subject concealment (20% miss chance). A see invisibility spell does not counteract the blur effect, but a true seeing spell does. Opponents that cannot see the subject ignore the spell's effect (though fighting an unseen opponent carries penalties of its own).",PFRPG Core,1,0,0,0,0,2,2,,,,2,,2,2,,,,,2,,,2,,Attacks miss subject 20% of the time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blur,52,,"Destined (5), Protean (5)",,,,0,,,2,2,2,2,2,,,,,0,0,0,2
