name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,source,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,SLA_Level,domain,short_description,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,linktext,id,material_costs,bloodline,patron,mythic_text,augmented,mythic,bloodrager,shaman,psychic,medium,mesmerist,occultist,spiritualist,skald,investigator,hunter,haunt_statistics,ruse,draconic,meditative,summoner_unchained
Alter Self,transmutation,polymorph,,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",0,personal,,,you,1 min./level,1,0,,,"When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet. Small creature: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity. Medium creature: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.",PFRPG Core,1,1,1,0,0,2,2,,,,2,,2,2,2,,,,2,,,2,,Assume form of a Small or Medium humanoid.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alter Self,7,,,,,,0,,2,2,2,2,,,,,,,0,0,0,2
Analyze Dweomer,divination,,,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6, occultist 6, psychic 6, spiritualist 6",1 standard action,"V, S, F (a ruby and gold lens worth 1,500 gp)",1,close (25 ft. + 5 ft./2 levels),,,one object or creature per caster level,1 round/level,1,0,none or Will negates; see text,no,"You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level. An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other analyze dweomer spells for 24 hours. Analyze dweomer does not function when used on an artifact.",PFRPG Core,1,1,0,1,0,6,6,,,,6,,6,,6,,,,,,,6,Arcane (6),Reveals magical aspects of subject.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Analyze Dweomer,9,1500,,,,,0,,,6,,,6,6,,,,,0,0,0,
Animate Objects,transmutation,,,"bard 6, cleric/oracle 6, witch 6, occultist 6, psychic 6",1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),,,one Small object per caster level; see text,1 round/level,0,0,none,no,"You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate. An animated object can be of any nonmagical material. You may animate one Small or smaller object or a corresponding number of larger objects as follows: A Medium object counts as two Small or smaller objects, a Large object as four, a Huge object as eight, a Gargantuan object as 16, and a Colossal object as 32. You can change the designated target or targets as a move action, as if directing an active spell. See the Pathfinder RPG Bestiary for the statistics of animated objects. This spell cannot affect objects carried or worn by a creature. Animate objects can be made permanent with a permanency spell.",PFRPG Core,1,1,0,0,0,,,6,,,6,,,,6,,6,,,,,6,"Chaos (6), Flotsam (6)",Objects attack your foes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animate Objects,15,,Impossible (13),,"Animated objects you create with this spell get the maximum number of hit points per level, gain a +4 bonus to their Strength ability scores, and have 1-1/2 times the normal number of construction points.",,1,,,6,,,6,,,,,,0,0,0,
Antipathy,enchantment,compulsion,"mind-affecting, emotion","druid 9, sorcerer/wizard 8, witch 8, summoner/unchained summoner 6, occultist 6, psychic 8",1 hour,"V, S, M/DF (a lump of alum soaked in vinegar)",0,close (25 ft. + 5 ft./2 levels),,,one location (up to a 10-ft. cube/level) or one object,2 hours/level,1,0,Will partial,yes,"You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The kind of creature to be affected must be named specifically. A creature subtype is not specific enough. Likewise, the specific alignment to be repelled must be named. Creatures of the designated kind or alignment feel an urge to leave the area or to avoid the affected item. A compulsion forces them to abandon the area or item, shunning it and never willingly returning to it while the spell is in effect. A creature that makes a successful saving throw can stay in the area or touch the item but feels uncomfortable doing so. This distracting discomfort reduces the creature's Dexterity score by 4 points. Antipathy counters and dispels sympathy.",PFRPG Core,1,1,1,0,1,8,8,,9,,,,,6,8,,,,,,,8,,Object or location affected by spell repels certain creatures.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Antipathy,20,,,Peace (18),,,0,,,8,,,6,,,,,,0,0,0,6
Arcane Eye,divination,scrying,,"sorcerer/wizard 4, witch 4, alchemist 4, occultist 4, psychic 4, mesmerist 4",10 minutes,"V, S, M (a bit of bat fur)",0,unlimited,,magical sensor,,1 min./level,1,0,none,no,"You create an invisible magical sensor that sends you visual information. You can create the arcane eye at any point you can see, but it can then travel outside your line of sight without hindrance. An arcane eye travels at 30 feet per round (300 feet per minute) if viewing an area ahead as a human would (primarily looking at the floor) or 10 feet per round (100 feet per minute) if examining the ceiling and walls as well as the floor ahead. It sees exactly as you would see if you were there. The eye can travel in any direction as long as the spell lasts. Solid barriers block its passage, but it can pass through a hole or space as small as 1 inch in diameter. The eye can't enter another plane of existence, even through a gate or similar magical portal. You must concentrate to use an arcane eye. If you do not concentrate, the eye is inert until you again concentrate.",PFRPG Core,1,1,1,0,0,4,4,,,,,,4,,4,,,,,,,4,Arcane (4), Invisible floating eye moves 30 ft./round.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arcane Eye,22,,,,,,0,,,4,,4,4,,,,,,0,0,0,
Arcane Sight,divination,,,"sorcerer/wizard 3, witch 3, inquisitor 3, alchemist 3, magus 3, occultist 3, psychic 3",1 standard action,"V, S",0,personal,,,you,1 min./level,1,0,,,"This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a detect magic spell, but arcane sight does not require concentration and discerns aura location and power more quickly. You know the location and power of all magical auras within your sight. An aura's power depends on a spell's functioning level or an item's caster level, as noted in the DESCRIPTION of the detect magic spell. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. (Make one check per aura; DC 15 + spell level, or 15 + half caster level for a nonspell effect.) If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities, whether these are arcane or divine (spell-like abilities register as arcane), and the strength of the most powerful spell or spell-like ability the creature currently has available for use. As with detect magic, you can use this spell to identify the properties of magic items, but not artifacts. Arcane sight can be made permanent with a permanency spell.",PFRPG Core,1,1,0,0,0,3,3,,,,,,3,,3,3,,,3,,,3,, Magical auras become visible to you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arcane Sight,25,,,,,,0,,,3,,,3,,,,,,0,0,0,
"Arcane Sight, Greater",divination,,,"sorcerer/wizard 7, witch 7, psychic 7",1 standard action,"V, S",0,personal,,,you,1 min./level,1,0,,,"This spell functions like arcane sight, except that you automatically know which spells or magical effects are active upon any individual or object you see. Unlike arcane sight, this spell cannot be made permanent with a permanency spell.",PFRPG Core,1,1,0,0,0,7,7,,,,,,,,7,,,,,,,7,," As arcane sight, but also reveals magic effects on creatures and objects.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Arcane Sight, Greater",26,,,,,,0,,,7,,,,,,,,,0,0,0,
Astral Projection,necromancy,,,"cleric/oracle 9, sorcerer/wizard 9, witch 9, psychic 9",30 minutes,"V, S, M (1,000 gp jacinth)",1,touch,,,you plus one additional willing creature touched per two caster levels,see text,0,0,none,yes,"By freeing your spirit from your physical body, this spell allows you to project an astral body onto another plane altogether. You can bring the astral forms of other willing creatures with you, provided that these subjects are linked in a circle with you at the time of the casting. These fellow travelers are dependent upon you and must accompany you at all times. If something happens to you during the journey, your companions are stranded wherever you left them. You project your astral self onto the Astral Plane, leaving your physical body behind on the Material Plane in a state of suspended animation. The spell projects an astral copy of you and all you wear or carry onto the Astral Plane. Since the Astral Plane touches upon other planes, you can travel astrally to any of these other planes as you will. To enter one, you leave the Astral Plane, forming a new physical body (and equipment) on the plane of existence you have chosen to enter. While you are on the Astral Plane, your astral body is connected at all times to your physical body by an incorporeal silver cord. If the cord is broken, you are killed, astrally and physically. Luckily, very few things can destroy a silver cord. When a second body is formed on a different plane, the silver cord remains invisibly attached to the new body. If the second body or the astral form is slain, the cord simply returns to your body where it rests on the Material Plane, thereby reviving it from its state of suspended animation. This is a traumatic affair, however, and you gain two permanent negative levels if your second body or astral form is slain. Although astral projections are able to function on the Astral Plane, their actions affect only creatures existing on the Astral Plane; a physical body must be materialized on other planes. You and your companions may travel through the Astral Plane indefinitely. Your bodies simply wait behind in a state of suspended animation until you choose to return your spirits to them. The spell lasts until you desire to end it, or until it is terminated by some outside means, such as dispel magic cast upon either the physical body or the astral form, the breaking of the silver cord, or the destruction of your body back on the Material Plane (which kills you). When this spell ends, your astral body and all of its gear, vanishes.",PFRPG Core,1,1,1,0,0,9,9,9,,,,,,,9,,9,,,,,9,Travel (9),Projects you and others onto Astral Plane.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Astral Projection,27,1000,Dreamspun (19),Stars (18),,,0,,,9,,,,,,,,,0,0,0,
Augury,divination,,,"cleric/oracle 2, witch 2, shaman 2, occultist 2, psychic 2, spiritualist 2, medium 2",1 minute,"V, S, M (incense worth at least 25 gp), F (a set of marked sticks or bones worth at least 25 gp)",1,personal,,,you,instantaneous,0,0,,,"An augury can tell you whether a particular action will bring good or bad results for you in the immediate future. The base chance for receiving a meaningful reply is 70% + 1% per caster level, to a maximum of 90%; this roll is made secretly. A question may be so straightforward that a successful result is automatic, or so vague as to have no chance of success. If the augury succeeds, you get one of four results: Weal (if the action will probably bring good results). Woe (for bad results). Weal and woe (for both). Nothing (for actions that don't have especially good or bad results). If the spell fails, you get the ""nothing"" result. A cleric who gets the ""nothing"" result has no way to tell whether it was the consequence of a failed or successful augury. The augury can see into the future only about half an hour, so anything that might happen after that does not affect the result. Thus, the result might not take into account the long-term consequences of a contemplated action. All auguries cast by the same person about the same topic use the same die result as the first casting.",PFRPG Core,1,1,1,1,0,,,2,,,,,,,2,,2,,,,,2,Fate (2), Learns whether an action will be good or bad.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Augury,29,25,"Dreamspun (5), Harrow (5)",,,,0,,2,2,2,,2,2,,,,,0,0,0,
Bestow Curse,necromancy,,curse,"cleric/oracle 3, sorcerer/wizard 4, witch 3, antipaladin 3, bloodrager 4, shaman 3, occultist 3, mesmerist 3, spiritualist 3, medium 2",1 standard action,"V, S",0,touch,,,creature touched,permanent,0,0,Will negates,yes,"You place a curse on the subject. Choose one of the following. -6 decrease to an ability score (minimum 1). -4 penalty on attack rolls, saves, ability checks, and skill checks. Each turn, the target has a 50% chance to act normally; otherwise, it takes no action. You may also invent your own curse, but it should be no more powerful than those described above. The curse bestowed by this spell cannot be dispelled, but it can be removed with a break enchantment, limited wish, miracle, remove curse, or wish spell. Bestow curse counters remove curse.",PFRPG Core,1,1,0,0,0,4,4,3,,,,,,,3,,3,3,,3,,4,"Curse (3), Tyranny (3)","–6 to an ability score; –4 on attack rolls, saves, and checks; or 50% chance of losing each action.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bestow Curse,40,,"Accursed (9), Div (9)",,,,0,4,3,,2,3,3,3,,,,,0,0,0,
